기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
LG,003550,2012Q4,2012-12-31,분기말 자산총계,재작성 반영,16047732000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20130401001626,15848076000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20130515000890,5
LG,003550,2012Q4,2012-12-31,분기말 부채총계,재작성 반영,4312780000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20130401001626,4302676000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20130515000890,5
LG,003550,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 반영,11734952000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20130401001626,11545400000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20130515000890,5
LG,003550,2016Q2,2016-06-30,분기별 매출액,재분류(미반영),2681578000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816001674,2473321000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814002074,5
LG,003550,2016Q2,2016-06-30,분기별 영업이익,재분류(미반영),417692000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160816001674,410258000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814002074,5
LG,003550,2016Q3,2016-09-30,분기별 매출액,재분류(미반영),2673243000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002435,2441150000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,5
LG,003550,2016Q3,2016-09-30,분기별 영업이익,재분류(미반영),327570000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002435,320690000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,5
LG,003550,2016Q4,2016-12-31,분기별 매출액,재분류(미반영),3019434000000,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170331004986 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002435,3701683000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,5
LG,003550,2016Q4,2016-12-31,분기별 영업이익,재분류(미반영),269704000000,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170331004986 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20161114002435,277119000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,5
LG,003550,2017Q1,2017-03-31,분기별 매출액,재분류(미반영),2642802000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170515004080,2588609000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515002337,5
LG,003550,2017Q1,2017-03-31,분기별 영업이익,재분류(미반영),606311000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170515004080,615566000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515002337,5
LG,003550,2017Q2,2017-06-30,분기별 매출액,재분류(미반영),2898638000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814002074,2854058000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180814002788,5
LG,003550,2017Q2,2017-06-30,분기별 영업이익,재분류(미반영),567877000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814002074,568925000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180814002788,5
LG,003550,2017Q3,2017-09-30,분기별 매출액,재분류(미반영),3002966000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,2970211000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,5
LG,003550,2017Q3,2017-09-30,분기별 영업이익,재분류(미반영),577473000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,574188000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,5
LG,003550,2017Q4,2017-12-31,분기별 매출액,재분류(미반영),3332477000000,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180402005213 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,3428180000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,5
LG,003550,2017Q4,2017-12-31,분기별 영업이익,재분류(미반영),418980000000,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180402005213 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114001828,427141000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,5
LG,003550,2018Q1,2018-03-31,분기별 매출액,재분류(미반영),2850088000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515002337,1882145000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002441,5
LG,003550,2018Q1,2018-03-31,분기별 영업이익,재분류(미반영),614568000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515002337,583867000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515002441,5
LG,003550,2018Q2,2018-06-30,분기별 매출액,재분류(미반영),2960331000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180814002788,1911046000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002416,5
LG,003550,2018Q2,2018-06-30,분기별 영업이익,재분류(미반영),523976000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180814002788,486864000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814002416,5
LG,003550,2018Q3,2018-09-30,분기별 매출액,재분류(미반영),2967294000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,1899630000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002444,5
LG,003550,2018Q3,2018-09-30,분기별 영업이익,재분류(미반영),527301000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,486225000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002444,5
LG,003550,2018Q4,2018-12-31,분기별 매출액,재분류(미반영),3167077000000,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190401004643 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,6251969000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002444,5
LG,003550,2018Q4,2018-12-31,분기별 영업이익,재분류(미반영),297958000000,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190401004643 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114002359,406847000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002444,5
LG,003550,2020Q1,2020-03-31,분기별 매출액,재분류(미반영),1585377000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200515002349,1509762000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210517001244,5
LG,003550,2020Q1,2020-03-31,분기별 영업이익,재분류(미반영),607742000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200515002349,534723000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210517001244,5
