기업,종목코드,기간,기준일,항목,값(원),값구분,출처,라운드
한화에어로스페이스,012450,2010Q1,2010-03-31,분기말 자산총계,2793155839017,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기말 부채총계,1707125004705,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기말 총자본(자기자본),1086030834312,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기별 매출액,684061444320,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기별 영업이익,40364931508,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기별 당기순이익(지배),51258324984,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기별 영업활동현금흐름,304692218394,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기말 지배지분 자본,1081068092271,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기말 종가,84900,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 삼성테크윈 ; 종가 84900 × 상장주식수 53130000 = 시가총액 4510737000000)",2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기말 상장주식수,53130000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 삼성테크윈 ; 종가 84900 × 상장주식수 53130000 = 시가총액 4510737000000)",2
한화에어로스페이스,012450,2010Q1,2010-03-31,분기말 시가총액,4510737000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 삼성테크윈 ; 종가 84900 × 상장주식수 53130000 = 시가총액 4510737000000)",2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기말 자산총계,2716177623655,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기말 부채총계,1580048555513,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기말 총자본(자기자본),1136129068142,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기별 매출액,789128965044,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기별 영업이익,43741896521,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기별 당기순이익(지배),48237477025,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기별 영업활동현금흐름,-106739862109,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100531001456,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기말 지배지분 자본,1130890565401,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기말 종가,106000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 삼성테크윈 ; 종가 106000 × 상장주식수 53130000 = 시가총액 5631780000000)",2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기말 상장주식수,53130000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 삼성테크윈 ; 종가 106000 × 상장주식수 53130000 = 시가총액 5631780000000)",2
한화에어로스페이스,012450,2010Q2,2010-06-30,분기말 시가총액,5631780000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 삼성테크윈 ; 종가 106000 × 상장주식수 53130000 = 시가총액 5631780000000)",2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기말 자산총계,2891209831755,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기말 부채총계,1685835582583,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기말 총자본(자기자본),1205374249172,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기별 매출액,891943808717,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기별 영업이익,84074395729,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기별 당기순이익(지배),70432926105,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기별 영업활동현금흐름,-77518121463,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100830000408,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기말 지배지분 자본,1199863028060,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기말 종가,113000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100930 (KOSPI, 삼성테크윈 ; 종가 113000 × 상장주식수 53130000 = 시가총액 6003690000000)",2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기말 상장주식수,53130000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100930 (KOSPI, 삼성테크윈 ; 종가 113000 × 상장주식수 53130000 = 시가총액 6003690000000)",2
한화에어로스페이스,012450,2010Q3,2010-09-30,분기말 시가총액,6003690000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100930 (KOSPI, 삼성테크윈 ; 종가 113000 × 상장주식수 53130000 = 시가총액 6003690000000)",2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기말 자산총계,2897943183287,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443,2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기말 부채총계,1627310527759,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443,2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기말 총자본(자기자본),1270632655528,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443,2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기별 매출액,832740360770,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기별 영업이익,47514277191,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기별 당기순이익(지배),63502982436,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기별 영업활동현금흐름,8165328044,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101129000536,2
한화에어로스페이스,012450,2010Q4,2010-12-31,분기말 지배지분 자본,1265292835643,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110331002443,2
한화에어로스페이스,012450,2010Q4,2010-12-30,분기말 종가,103500,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20101230 (KOSPI, 삼성테크윈 ; 종가 103500 × 상장주식수 53130000 = 시가총액 5498955000000)",2
한화에어로스페이스,012450,2010Q4,2010-12-30,분기말 상장주식수,53130000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20101230 (KOSPI, 삼성테크윈 ; 종가 103500 × 상장주식수 53130000 = 시가총액 5498955000000)",2
한화에어로스페이스,012450,2010Q4,2010-12-30,분기말 시가총액,5498955000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20101230 (KOSPI, 삼성테크윈 ; 종가 103500 × 상장주식수 53130000 = 시가총액 5498955000000)",2
한화에어로스페이스,012450,2011Q1,2011-03-31,분기말 자산총계,3215800922607,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110530000945,2
한화에어로스페이스,012450,2011Q1,2011-03-31,분기말 부채총계,1945086780375,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110530000945,2
한화에어로스페이스,012450,2011Q1,2011-03-31,분기말 총자본(자기자본),1270714142232,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110530000945,2
한화에어로스페이스,012450,2011Q1,2011-03-31,분기별 매출액,643380488367,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110530000945,2
한화에어로스페이스,012450,2011Q1,2011-03-31,분기별 영업이익,30246118041,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20110530000945,2
