기업,종목코드,기간,기준일,항목,값(원),값구분,출처
유한양행,000100,2019Q1,2019-03-31,분기말 자산총계,2243471368346,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-31,분기말 부채총계,598384772784,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-31,분기말 총자본(자기자본),1645086595562,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-31,분기별 매출액,344952534874,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-31,분기별 영업이익,6089798210,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-31,분기별 당기순이익(지배),15568711562,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-31,분기별 영업활동현금흐름,88626261567,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-31,분기말 지배지분 자본,1635071820829,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000791
유한양행,000100,2019Q1,2019-03-29,분기말 종가,240000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 유한양행 ; 종가 240000 × 상장주식수 12777115 = 시가총액 3066507600000)"
유한양행,000100,2019Q1,2019-03-29,분기말 상장주식수,12777115,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 유한양행 ; 종가 240000 × 상장주식수 12777115 = 시가총액 3066507600000)"
유한양행,000100,2019Q1,2019-03-29,분기말 시가총액,3066507600000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 유한양행 ; 종가 240000 × 상장주식수 12777115 = 시가총액 3066507600000)"
유한양행,000100,2019Q2,2019-06-30,분기말 자산총계,2103742340052,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000781
유한양행,000100,2019Q2,2019-06-30,분기말 부채총계,461857477329,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000781
유한양행,000100,2019Q2,2019-06-30,분기말 총자본(자기자본),1641884862723,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000781
유한양행,000100,2019Q2,2019-06-30,분기별 매출액,359398622867,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000781
