기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
KB금융,105560,2020Q4,2020-12-31,분기말 자산총계,재작성 반영,610672192000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210427000533,610719944000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220325001281
KB금융,105560,2020Q4,2020-12-31,분기말 부채총계,재작성 반영,567310733000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210427000533,567317587000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220325001281
KB금융,105560,2020Q4,2020-12-31,분기말 총자본(자기자본),재작성 반영,43361459000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210427000533,43402357000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220325001281
KB금융,105560,2020Q4,2020-12-31,분기말 지배지분 자본,재작성 반영,42503676000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210427000533,42544574000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220325001281
KB금융,105560,2022Q3,2022-09-30,분기별 영업이익,재작성 반영,1598925000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000609,1733829000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000635
KB금융,105560,2022Q3,2022-09-30,분기별 당기순이익(지배),재작성 반영,1271326000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000609,1367760000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000635
KB금융,105560,2022Q3,2022-09-30,분기별 순이자이익,재작성 반영,3365681000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000609,2928028000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000635
KB금융,105560,2022Q3,2022-09-30,분기별 순수수료이익,재작성 반영,813865000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000609,872678000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000635
KB금융,105560,2022Q3,2022-09-30,분기별 영업활동현금흐름,재작성 반영,907435000000,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000609 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220816001769,-2924961000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000635
KB금융,105560,2022Q4,2022-12-31,분기말 자산총계,재작성 반영,701170848000000,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231005000471,688664826000000,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231005000478 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241230000635
