기업,종목코드,기간,기준일,항목,값(원),값구분,출처,항목세트
한국금융지주,071050,2019Q1,2019-03-31,분기말 자산총계,71471775644811,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기말 부채총계,66434183553548,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기말 총자본(자기자본),5037592091263,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기별 영업수익,3425722864856,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기별 영업이익,308581632013,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기별 당기순이익(지배),258181311273,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기별 순이자이익,데이터 없음(항목 미공시),데이터 없음(항목 미공시),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기별 순수수료이익,데이터 없음(항목 미공시),데이터 없음(항목 미공시),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기별 영업활동현금흐름,31477423250,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-31,분기말 지배지분 자본,4451412441378,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q1,2019-03-29,분기말 종가,62100,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 한국금융지주 ; 종가 62100 × 상장주식수 55725992 = 시가총액 3460584103200)",금융
한국금융지주,071050,2019Q1,2019-03-29,분기말 상장주식수,55725992,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 한국금융지주 ; 종가 62100 × 상장주식수 55725992 = 시가총액 3460584103200)",금융
한국금융지주,071050,2019Q1,2019-03-29,분기말 시가총액,3460584103200,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190329 (KOSPI, 한국금융지주 ; 종가 62100 × 상장주식수 55725992 = 시가총액 3460584103200)",금융
한국금융지주,071050,2019Q2,2019-06-30,분기말 자산총계,77182753172729,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기말 부채총계,71872592436539,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기말 총자본(자기자본),5310160736190,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기별 영업수익,3282465149544,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기별 영업이익,271792612322,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기별 당기순이익(지배),208202977335,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기별 순이자이익,데이터 없음(항목 미공시),데이터 없음(항목 미공시),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기별 순수수료이익,데이터 없음(항목 미공시),데이터 없음(항목 미공시),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-30,분기별 영업활동현금흐름,297348330627,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190514000984,금융
한국금융지주,071050,2019Q2,2019-06-30,분기말 지배지분 자본,4699623855404,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q2,2019-06-28,분기말 종가,80700,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190628 (KOSPI, 한국금융지주 ; 종가 80700 × 상장주식수 55725992 = 시가총액 4497087554400)",금융
한국금융지주,071050,2019Q2,2019-06-28,분기말 상장주식수,55725992,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190628 (KOSPI, 한국금융지주 ; 종가 80700 × 상장주식수 55725992 = 시가총액 4497087554400)",금융
한국금융지주,071050,2019Q2,2019-06-28,분기말 시가총액,4497087554400,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20190628 (KOSPI, 한국금융지주 ; 종가 80700 × 상장주식수 55725992 = 시가총액 4497087554400)",금융
한국금융지주,071050,2019Q3,2019-09-30,분기말 자산총계,57868151054194,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기말 부채총계,52913856009332,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기말 총자본(자기자본),4954295044862,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기별 영업수익,2987109351985,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기별 영업이익,177394762166,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기별 당기순이익(지배),226448704700,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기별 순이자이익,데이터 없음(항목 미공시),데이터 없음(항목 미공시),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기별 순수수료이익,데이터 없음(항목 미공시),데이터 없음(항목 미공시),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
한국금융지주,071050,2019Q3,2019-09-30,분기별 영업활동현금흐름,-1000427619100,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001688,금융
한국금융지주,071050,2019Q3,2019-09-30,분기말 지배지분 자본,4923501174042,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114002507,금융
