기업,종목코드,기간,기준일,항목,값(원),값구분,출처
LS ELECTRIC,010120,2019Q1,2019-03-31,분기말 자산총계,2395976366227,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기말 부채총계,1103424697216,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기말 총자본(자기자본),1292551669011,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기별 매출액,518534046975,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기별 영업이익,28664690385,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기별 당기순이익(지배),26438821402,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기별 영업활동현금흐름,-11229432760,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기말 지배지분 자본,1289747023965,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q1,2019-03-31,분기말 종가,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LS ELECTRIC,010120,2019Q1,2019-03-31,분기말 상장주식수,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LS ELECTRIC,010120,2019Q1,2019-03-31,분기말 시가총액,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LS ELECTRIC,010120,2019Q2,2019-06-30,분기말 자산총계,2406966439413,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852
LS ELECTRIC,010120,2019Q2,2019-06-30,분기말 부채총계,1088475722438,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852
LS ELECTRIC,010120,2019Q2,2019-06-30,분기말 총자본(자기자본),1318490716975,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852
LS ELECTRIC,010120,2019Q2,2019-06-30,분기별 매출액,580839590437,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852
LS ELECTRIC,010120,2019Q2,2019-06-30,분기별 영업이익,43480200657,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852
LS ELECTRIC,010120,2019Q2,2019-06-30,분기별 당기순이익(지배),26092349428,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852
LS ELECTRIC,010120,2019Q2,2019-06-30,분기별 영업활동현금흐름,86292817206,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515000921
LS ELECTRIC,010120,2019Q2,2019-06-30,분기말 지배지분 자본,1315882946520,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814000852
LS ELECTRIC,010120,2019Q2,2019-06-30,분기말 종가,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LS ELECTRIC,010120,2019Q2,2019-06-30,분기말 상장주식수,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LS ELECTRIC,010120,2019Q2,2019-06-30,분기말 시가총액,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
LS ELECTRIC,010120,2019Q3,2019-09-30,분기말 자산총계,2435826091849,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114001179
LS ELECTRIC,010120,2019Q3,2019-09-30,분기말 부채총계,1077377289999,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114001179
LS ELECTRIC,010120,2019Q3,2019-09-30,분기말 총자본(자기자본),1358448801850,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114001179
LS ELECTRIC,010120,2019Q3,2019-09-30,분기별 매출액,548265451580,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114001179
LS ELECTRIC,010120,2019Q3,2019-09-30,분기별 영업이익,53166133064,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191114001179
