기업,종목코드,기간,기준일,항목,값(원),값구분,출처
삼성전기,009150,2019Q1,2019-03-31,분기말 자산총계,9000472977200,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기말 부채총계,3943125360970,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기말 총자본(자기자본),5057347616230,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기별 매출액,2130551645830,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기별 영업이익,190285844605,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기별 당기순이익(지배),129799407072,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기별 영업활동현금흐름,195443891539,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기말 지배지분 자본,4924040033565,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q1,2019-03-31,분기말 종가,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
삼성전기,009150,2019Q1,2019-03-31,분기말 상장주식수,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
삼성전기,009150,2019Q1,2019-03-31,분기말 시가총액,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
삼성전기,009150,2019Q2,2019-06-30,분기말 자산총계,8776434311945,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492
삼성전기,009150,2019Q2,2019-06-30,분기말 부채총계,3391504521521,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492
삼성전기,009150,2019Q2,2019-06-30,분기말 총자본(자기자본),5384929790424,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492
삼성전기,009150,2019Q2,2019-06-30,분기별 매출액,1957747694174,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492
삼성전기,009150,2019Q2,2019-06-30,분기별 영업이익,145163987125,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492
삼성전기,009150,2019Q2,2019-06-30,분기별 당기순이익(지배),52405258415,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492
삼성전기,009150,2019Q2,2019-06-30,분기별 영업활동현금흐름,15190953954,계산(누적차감),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190515001493
삼성전기,009150,2019Q2,2019-06-30,분기말 지배지분 자본,5247095479054,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190814001492
삼성전기,009150,2019Q2,2019-06-30,분기말 종가,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
삼성전기,009150,2019Q2,2019-06-30,분기말 상장주식수,데이터 없음(소스 서비스 시작일 2020-01-02 이전),데이터 없음(소스 시작일),공공데이터포털 주식시세 V2 (서비스 시작일 이전)
