us 1 재생성 rc=0 재작성 기록: {'재분류(미반영)': 8, '재작성 검증 실패(원 공시 유지)': 18} | rows: 3300 | 빈 값: 0 | 빈 출처: 0
us 2 재생성 rc=0 재작성 기록: {'재분류(미반영)': 12, '재작성 반영': 5} | rows: 3300 | 빈 값: 0 | 빈 출처: 0
us 3 재생성 rc=0 재작성 기록: {'재분류(미반영)': 99, '재작성 검증 실패(원 공시 유지)': 46, '재작성 반영': 31} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 4 재생성 rc=0 재작성 기록: {'재분류(미반영)': 28, '재작성 반영': 7} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 5 재생성 rc=0 재작성 기록: {'재분류(미반영)': 77, '재작성 검증 실패(원 공시 유지)': 37, '재작성 반영': 47} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 6 재생성 rc=0 재작성 기록: {'재분류(미반영)': 29, '재작성 검증 실패(원 공시 유지)': 44, '재작성 반영': 57} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 7 재생성 rc=0 재작성 기록: {'재분류(미반영)': 61, '재작성 검증 실패(원 공시 유지)': 41, '재작성 반영': 51} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 8 재생성 rc=0 재작성 기록: {'재분류(미반영)': 26, '재작성 검증 실패(원 공시 유지)': 46, '재작성 반영': 16} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 9 재생성 rc=0 재작성 기록: {'재분류(미반영)': 30, '재작성 검증 실패(원 공시 유지)': 37, '재작성 반영': 83} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 10 재생성 rc=0 재작성 기록: {'재분류(미반영)': 96, '재작성 검증 실패(원 공시 유지)': 33, '재작성 반영': 42} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 11 재생성 rc=0 재작성 기록: {'재분류(미반영)': 82, '재작성 검증 실패(원 공시 유지)': 25, '재작성 반영': 44} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 12 재생성 rc=0 재작성 기록: {'재분류(미반영)': 38, '재작성 검증 실패(원 공시 유지)': 30, '재작성 반영': 81} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 13 재생성 rc=0 재작성 기록: {'재분류(미반영)': 11, '재작성 검증 실패(원 공시 유지)': 60, '재작성 반영': 79} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 14 재생성 rc=0 재작성 기록: {'재분류(미반영)': 35, '재작성 검증 실패(원 공시 유지)': 29, '재작성 반영': 49} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 15 재생성 rc=0 재작성 기록: {'재분류(미반영)': 85, '재작성 검증 실패(원 공시 유지)': 38, '재작성 반영': 76} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
us 16 재생성 rc=0 재작성 기록: {'재분류(미반영)': 79, '재작성 검증 실패(원 공시 유지)': 19, '재작성 반영': 41} | rows: 6600 | 빈 값: 0 | 빈 출처: 0
