OKE | {'공시': 132, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 35, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 16, '계산(연간(연결-비지배)-3분기누적)': 2, '계산(연간-3분기누적, 비지배 없음)': 3} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
OXY | {'공시': 126, '미확인': 30, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 10, '계산(연결-비지배)': 8, '계산(연간(연결-비지배)-3분기누적)': 4, '공시(비지배 없음)': 10} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2022Q4'] | 3s
FIX | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
TER | {'공시': 168, '공시(비지배 없음)': 29, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
NXPI | {'미확인': 22, '공시': 175, '데이터 없음(직전 보고서 없음)': 1, 'API': 28, '공시(표지 기준일)': 28, '계산(종가×주식수)': 28, '계산(연간-3분기누적)': 21, '계산(누적차감)': 20, '계산(부채및자본-총자본)': 7} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 7s
KEYS | {'공시': 182, '공시(비지배 없음)': 14, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 16, '계산(연간-3분기누적, 비지배 없음)': 5} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
BKR | {'공시': 162, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 20, '미확인': 6} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 14s
NUE | {'공시': 174, '미확인': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 6s
FAST | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2021Q4'] | 7s
D | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 11s
AME | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
