기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산
ONEOK,OKE,2019Q1,2019-03-31,분기별 매출액,2779958000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,
ONEOK,OKE,2019Q1,2019-03-31,분기별 영업이익,468742000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,
ONEOK,OKE,2019Q1,2019-03-31,분기별 당기순이익(지배),337208000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,
ONEOK,OKE,2019Q1,2019-03-31,분기별 영업활동현금흐름,353606000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,
ONEOK,OKE,2019Q1,2019-03-31,분기말 자산총계,18934325000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,
ONEOK,OKE,2019Q1,2019-03-31,분기말 부채총계,12492319000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,부채및자본 18934325000 − 총자본 6442006000
ONEOK,OKE,2019Q1,2019-03-31,분기말 총자본(자기자본),6442006000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,"StockholdersEquity, MinorityInterest 태그 없음"
ONEOK,OKE,2019Q1,2019-03-31,분기말 지배지분 자본,6442006000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,
ONEOK,OKE,2019Q1,2019-03-29,분기말 종가,69.84,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/OKE?interval=1d&events=splits (2019-03-29),
ONEOK,OKE,2019Q1,2019-04-22,분기말 상장주식수,412756216,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,dei:EntityCommonStockSharesOutstanding 클래스 합
ONEOK,OKE,2019Q1,2019-03-29,분기말 시가총액,28826894125,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/OKE?interval=1d&events=splits (2019-03-29) ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,종가 69.84 × 주식수 412756216
ONEOK,OKE,2019Q2,2019-06-30,분기별 매출액,2457575000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,
ONEOK,OKE,2019Q2,2019-06-30,분기별 영업이익,476146000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,
ONEOK,OKE,2019Q2,2019-06-30,분기별 당기순이익(지배),311963000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,
ONEOK,OKE,2019Q2,2019-06-30,분기별 영업활동현금흐름,614345000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/ ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000030/,누적 967951000 − 직전누적 353606000 (시작 2019-01-01)
ONEOK,OKE,2019Q2,2019-06-30,분기말 자산총계,19751594000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,
ONEOK,OKE,2019Q2,2019-06-30,분기말 부채총계,13403458000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,부채및자본 19751594000 − 총자본 6348136000
ONEOK,OKE,2019Q2,2019-06-30,분기말 총자본(자기자본),6348136000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,"StockholdersEquity, MinorityInterest 태그 없음"
ONEOK,OKE,2019Q2,2019-06-30,분기말 지배지분 자본,6348136000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,
ONEOK,OKE,2019Q2,2019-06-28,분기말 종가,68.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/OKE?interval=1d&events=splits (2019-06-28),
ONEOK,OKE,2019Q2,2019-07-22,분기말 상장주식수,412968278,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,dei:EntityCommonStockSharesOutstanding 클래스 합
ONEOK,OKE,2019Q2,2019-06-28,분기말 시가총액,28416347209,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/OKE?interval=1d&events=splits (2019-06-28) ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,종가 68.81 × 주식수 412968278
ONEOK,OKE,2019Q3,2019-09-30,분기별 매출액,2263228000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,
ONEOK,OKE,2019Q3,2019-09-30,분기별 영업이익,482151000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,
ONEOK,OKE,2019Q3,2019-09-30,분기별 당기순이익(지배),309155000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,
ONEOK,OKE,2019Q3,2019-09-30,분기별 영업활동현금흐름,358894000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/ ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000056/,누적 1326845000 − 직전누적 967951000 (시작 2019-01-01)
ONEOK,OKE,2019Q3,2019-09-30,분기말 자산총계,21335907000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,
ONEOK,OKE,2019Q3,2019-09-30,분기말 부채총계,15117001000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,부채및자본 21335907000 − 총자본 6218906000
ONEOK,OKE,2019Q3,2019-09-30,분기말 총자본(자기자본),6218906000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,
ONEOK,OKE,2019Q3,2019-09-30,분기말 지배지분 자본,6218906000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,
ONEOK,OKE,2019Q3,2019-09-30,분기말 종가,73.69,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/OKE?interval=1d&events=splits (2019-09-30),
ONEOK,OKE,2019Q3,2019-10-21,분기말 상장주식수,413084650,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,dei:EntityCommonStockSharesOutstanding 클래스 합
ONEOK,OKE,2019Q3,2019-09-30,분기말 시가총액,30440207858,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/OKE?interval=1d&events=splits (2019-09-30) ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,종가 73.69 × 주식수 413084650
ONEOK,OKE,2019Q4,2019-12-31,분기별 매출액,2663606000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/ ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,연간 10164367000 − 9개월누적 7500761000 (Revenues)
ONEOK,OKE,2019Q4,2019-12-31,분기별 영업이익,487314000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/ ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,연간 1914353000 − 9개월누적 1427039000 (OperatingIncomeLoss)
ONEOK,OKE,2019Q4,2019-12-31,분기별 당기순이익(지배),320251000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/ ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,연간 1278577000 − 9개월누적 958326000 (NetIncomeLoss)
ONEOK,OKE,2019Q4,2019-12-31,분기별 영업활동현금흐름,619934000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/ ; https://www.sec.gov/Archives/edgar/data/1039684/000103968419000076/,누적 1946779000 − 직전누적 1326845000 (시작 2019-01-01)
ONEOK,OKE,2019Q4,2019-12-31,분기말 자산총계,21812121000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/,
ONEOK,OKE,2019Q4,2019-12-31,분기말 부채총계,15586170000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/,부채및자본 21812121000 − 총자본 6225951000
ONEOK,OKE,2019Q4,2019-12-31,분기말 총자본(자기자본),6225951000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/,
ONEOK,OKE,2019Q4,2019-12-31,분기말 지배지분 자본,6225951000,USD,공시,https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/,
ONEOK,OKE,2019Q4,2019-12-31,분기말 종가,75.67,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/OKE?interval=1d&events=splits (2019-12-31),
