기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Agilent Technologies,A,2010Q1,2010-04-30,분기별 매출액,1271000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,,11
Agilent Technologies,A,2010Q1,2010-04-30,분기별 영업이익,154000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,,11
Agilent Technologies,A,2010Q1,2010-04-30,분기별 당기순이익(지배),108000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,,11
Agilent Technologies,A,2010Q1,2010-04-30,분기별 영업활동현금흐름,225000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910013535/,누적 255000000 − 직전누적 30000000 (시작 2009-11-01),11
Agilent Technologies,A,2010Q1,2010-04-30,분기말 자산총계,7767000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,,11
Agilent Technologies,A,2010Q1,2010-04-30,분기말 부채총계,5135000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,,11
Agilent Technologies,A,2010Q1,2010-04-30,분기말 총자본(자기자본),2632000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,,11
Agilent Technologies,A,2010Q1,2010-04-30,분기말 지배지분 자본,2624000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,,11
Agilent Technologies,A,2010Q1,2010-04-30,분기말 종가,36.26,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2010-04-30),분할조정 종가 25.9371 × 이후 분할계수 1.398,11
Agilent Technologies,A,2010Q1,2010-04-30,분기말 상장주식수,348062907,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Agilent Technologies,A,2010Q1,2010-04-30,분기말 시가총액,12620761008,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,종가 36.26 × 주식수 348062907,11
Agilent Technologies,A,2010Q2,2010-07-31,분기별 매출액,1384000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,,11
Agilent Technologies,A,2010Q2,2010-07-31,분기별 영업이익,115000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,,11
Agilent Technologies,A,2010Q2,2010-07-31,분기별 당기순이익(지배),205000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,,11
Agilent Technologies,A,2010Q2,2010-07-31,분기별 영업활동현금흐름,90000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910032682/,누적 345000000 − 직전누적 255000000 (시작 2009-11-01),11
Agilent Technologies,A,2010Q2,2010-07-31,분기말 자산총계,9100000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,,11
Agilent Technologies,A,2010Q2,2010-07-31,분기말 부채총계,6290000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,,11
Agilent Technologies,A,2010Q2,2010-07-31,분기말 총자본(자기자본),2810000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,,11
Agilent Technologies,A,2010Q2,2010-07-31,분기말 지배지분 자본,2802000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,,11
Agilent Technologies,A,2010Q2,2010-07-30,분기말 종가,27.93,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2010-07-30),분할조정 종가 19.9785 × 이후 분할계수 1.398,11
Agilent Technologies,A,2010Q2,2010-07-31,분기말 상장주식수,346370351,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Agilent Technologies,A,2010Q2,2010-07-30,분기말 시가총액,9674123903,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2010-07-30) ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,종가 27.93 × 주식수 346370351,11
Agilent Technologies,A,2010Q3,2010-10-31,분기별 매출액,1576000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,연간 5444000000 − 9개월누적 3868000000 (SalesRevenueNet),11
Agilent Technologies,A,2010Q3,2010-10-31,분기별 영업이익,203000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,연간 566000000 − 9개월누적 363000000 (OperatingIncomeLoss),11
Agilent Technologies,A,2010Q3,2010-10-31,분기별 당기순이익(지배),292000000,USD,"계산(연간-3분기누적, 비지배 없음)",https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,연간 684000000 − 9개월누적 392000000 (ProfitLoss),11
Agilent Technologies,A,2010Q3,2010-10-31,분기별 영업활동현금흐름,373000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465910051373/,누적 718000000 − 직전누적 345000000 (시작 2009-11-01),11
Agilent Technologies,A,2010Q3,2010-10-31,분기말 자산총계,9696000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/,,11
Agilent Technologies,A,2010Q3,2010-10-31,분기말 부채총계,6460000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/,,11
Agilent Technologies,A,2010Q3,2010-10-31,분기말 총자본(자기자본),3236000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/,,11
Agilent Technologies,A,2010Q3,2010-10-31,분기말 지배지분 자본,3228000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/,,11
Agilent Technologies,A,2010Q3,2010-10-29,분기말 종가,34.8,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2010-10-29),분할조정 종가 24.8927 × 이후 분할계수 1.398,11
Agilent Technologies,A,2010Q3,2010-11-30,분기말 상장주식수,347604202,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Agilent Technologies,A,2010Q3,2010-10-29,분기말 시가총액,12096626230,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2010-10-29) ; https://www.sec.gov/Archives/edgar/data/1090872/000104746910010499/,종가 34.8 × 주식수 347604202,11
Agilent Technologies,A,2010Q4,2011-01-31,분기별 매출액,1519000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기별 영업이익,211000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기별 당기순이익(지배),193000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기별 영업활동현금흐름,120000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기말 자산총계,8044000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기말 부채총계,4705000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기말 총자본(자기자본),3339000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기말 지배지분 자본,3332000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,,11
Agilent Technologies,A,2010Q4,2011-01-31,분기말 종가,41.83,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2011-01-31),분할조정 종가 29.9213 × 이후 분할계수 1.398,11
Agilent Technologies,A,2010Q4,2011-01-31,분기말 상장주식수,345122160,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Agilent Technologies,A,2010Q4,2011-01-31,분기말 시가총액,14436459953,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2011-01-31) ; https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,종가 41.83 × 주식수 345122160,11
Agilent Technologies,A,2011Q1,2011-04-30,분기별 매출액,1677000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,,11
Agilent Technologies,A,2011Q1,2011-04-30,분기별 영업이익,266000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,,11
Agilent Technologies,A,2011Q1,2011-04-30,분기별 당기순이익(지배),200000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,,11
Agilent Technologies,A,2011Q1,2011-04-30,분기별 영업활동현금흐름,378000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465911013291/,누적 498000000 − 직전누적 120000000 (시작 2010-11-01),11
Agilent Technologies,A,2011Q1,2011-04-30,분기말 자산총계,8649000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,,11
Agilent Technologies,A,2011Q1,2011-04-30,분기말 부채총계,4688000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,,11
Agilent Technologies,A,2011Q1,2011-04-30,분기말 총자본(자기자본),3961000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,,11
Agilent Technologies,A,2011Q1,2011-04-30,분기말 지배지분 자본,3953000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,,11
Agilent Technologies,A,2011Q1,2011-04-29,분기말 종가,49.91,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2011-04-29),분할조정 종가 35.701 × 이후 분할계수 1.398,11
Agilent Technologies,A,2011Q1,2011-04-30,분기말 상장주식수,348045143,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Agilent Technologies,A,2011Q1,2011-04-29,분기말 시가총액,17370933087,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2011-04-29) ; https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,종가 49.91 × 주식수 348045143,11
Agilent Technologies,A,2011Q2,2011-07-31,분기별 매출액,1691000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,,11
Agilent Technologies,A,2011Q2,2011-07-31,분기별 영업이익,281000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,,11
Agilent Technologies,A,2011Q2,2011-07-31,분기별 당기순이익(지배),330000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,,11
Agilent Technologies,A,2011Q2,2011-07-31,분기별 영업활동현금흐름,252000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465911033625/,누적 750000000 − 직전누적 498000000 (시작 2010-11-01),11
Agilent Technologies,A,2011Q2,2011-07-31,분기말 자산총계,8753000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,,11
Agilent Technologies,A,2011Q2,2011-07-31,분기말 부채총계,4553000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,,11
Agilent Technologies,A,2011Q2,2011-07-31,분기말 총자본(자기자본),4200000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,,11
Agilent Technologies,A,2011Q2,2011-07-31,분기말 지배지분 자본,4192000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,,11
Agilent Technologies,A,2011Q2,2011-07-29,분기말 종가,42.16,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2011-07-29),분할조정 종가 30.1574 × 이후 분할계수 1.398,11
Agilent Technologies,A,2011Q2,2011-07-31,분기말 상장주식수,347214336,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Agilent Technologies,A,2011Q2,2011-07-29,분기말 시가총액,14638556406,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/A?interval=1d&events=splits (2011-07-29) ; https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,종가 42.16 × 주식수 347214336,11
Agilent Technologies,A,2011Q3,2011-10-31,분기별 매출액,1728000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,연간 6615000000 − 9개월누적 4887000000 (Revenues / 9개월 SalesRevenueNet),11
Agilent Technologies,A,2011Q3,2011-10-31,분기별 영업이익,313000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/ ; https://www.sec.gov/Archives/edgar/data/1090872/000110465911050549/,연간 1071000000 − 9개월누적 758000000 (OperatingIncomeLoss),11
