기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Accenture,ACN,2010Q1,2010-02-28,분기별 매출액,5537823000,USD,공시,https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,,5
Accenture,ACN,2010Q1,2010-02-28,분기별 영업이익,650973000,USD,공시,https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,,5
Accenture,ACN,2010Q1,2010-02-28,분기별 당기순이익(지배),399760000,USD,공시,https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,,5
Accenture,ACN,2010Q1,2010-02-28,분기별 영업활동현금흐름,659981000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/ ; https://www.sec.gov/Archives/edgar/data/1467373/000119312509256007/,누적 879092000 − 직전누적 219111000 (시작 2009-09-01),5
Accenture,ACN,2010Q1,2010-02-28,분기말 자산총계,11890088000,USD,공시,https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,,5
Accenture,ACN,2010Q1,2010-02-28,분기말 부채총계,8449185000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,부채및자본 11890088000 − 총자본 3440903000,5
Accenture,ACN,2010Q1,2010-02-28,분기말 총자본(자기자본),3440903000,USD,공시,https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,,5
Accenture,ACN,2010Q1,2010-02-28,분기말 지배지분 자본,2959496000,USD,공시,https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,,5
Accenture,ACN,2010Q1,2010-02-26,분기말 종가,39.97,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ACN?interval=1d&events=splits (2010-02-26),,5
Accenture,ACN,2010Q1,2010-03-19,분기말 상장주식수,637016143,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1467373/000119312510068566/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
