기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Analog Devices,ADI,2015Q3,2015-10-31,분기말 자산총계,재작성 반영,7062178000,공시,https://www.sec.gov/Archives/edgar/data/6281/000000628115000044/,7058777000,https://www.sec.gov/Archives/edgar/data/6281/000000628116000097/,4
Analog Devices,ADI,2015Q3,2015-10-31,분기말 부채총계,재작성 반영,1989219000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/6281/000000628115000044/,1985818000,https://www.sec.gov/Archives/edgar/data/6281/000000628116000097/,4
Analog Devices,ADI,2016Q3,2016-10-29,분기별 영업활동현금흐름,재작성 반영,486984000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/6281/000000628116000097/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628116000073/,497437000,https://www.sec.gov/Archives/edgar/data/6281/000000628118000126/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628116000073/,4
Analog Devices,ADI,2016Q4,2017-01-28,분기별 영업활동현금흐름,재작성 반영,314492000,공시,https://www.sec.gov/Archives/edgar/data/6281/000000628117000008/,322594000,https://www.sec.gov/Archives/edgar/data/6281/000000628118000018/,4
Analog Devices,ADI,2017Q1,2017-04-29,분기별 영업활동현금흐름,재작성 반영,521464000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/6281/000000628117000086/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628117000008/,539315000,https://www.sec.gov/Archives/edgar/data/6281/000000628118000084/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628118000018/,4
Analog Devices,ADI,2017Q2,2017-07-29,분기별 영업활동현금흐름,재작성 반영,-364283000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/6281/000000628117000114/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628117000086/,-360001000,https://www.sec.gov/Archives/edgar/data/6281/000000628118000106/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628118000084/,4
Analog Devices,ADI,2017Q3,2017-10-28,분기별 영업이익,재작성 반영,448210000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/6281/000000628117000144/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628117000114/,555837000,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628117000114/,4
Analog Devices,ADI,2017Q3,2017-10-28,분기별 당기순이익(지배),재작성 반영,347650000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/6281/000000628117000144/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628117000114/,425770000,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628117000114/,4
Analog Devices,ADI,2017Q3,2017-10-28,분기별 영업활동현금흐름,재작성 반영,640919000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/6281/000000628117000144/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628117000114/,652457000,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/ ; https://www.sec.gov/Archives/edgar/data/6281/000000628118000106/,4
Analog Devices,ADI,2017Q4,2018-02-03,분기별 영업이익,재작성 반영,405348000,공시,https://www.sec.gov/Archives/edgar/data/6281/000000628118000018/,442105000,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/,4
Analog Devices,ADI,2017Q4,2018-02-03,분기별 당기순이익(지배),재작성 반영,268172000,공시,https://www.sec.gov/Archives/edgar/data/6281/000000628118000018/,293240000,https://www.sec.gov/Archives/edgar/data/6281/000000628119000013/,4
