기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Automatic Data Processing,ADP,2011Q2,2011-06-30,분기별 매출액,재분류(미반영),2507100000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867011000010/,2460600000,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867011000010/,6
Automatic Data Processing,ADP,2011Q2,2011-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),34238300000,공시,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/,,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/,6
Automatic Data Processing,ADP,2011Q2,2011-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),28227900000,공시,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/,,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/,6
Automatic Data Processing,ADP,2011Q2,2011-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),6010400000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/,,https://www.sec.gov/Archives/edgar/data/8670/000120677411001935/,6
Automatic Data Processing,ADP,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),2522500000,공시,https://www.sec.gov/Archives/edgar/data/8670/000120677411002415/,2510900000,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/,6
Automatic Data Processing,ADP,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),2583000000,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867012000002/,2570700000,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/,6
Automatic Data Processing,ADP,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),2923100000,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867012000004/,2910900000,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/,6
Automatic Data Processing,ADP,2012Q2,2012-06-30,분기별 매출액,재분류(미반영),2636600000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/8670/000120677412003634/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867012000004/,2603000000,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867013000007/,6
Automatic Data Processing,ADP,2012Q2,2012-06-30,분기말 자산총계,재작성 반영,30815500000,공시,https://www.sec.gov/Archives/edgar/data/8670/000120677412003634/,30817400000,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/,6
Automatic Data Processing,ADP,2012Q2,2012-06-30,분기말 부채총계,재작성 반영,24701500000,공시,https://www.sec.gov/Archives/edgar/data/8670/000120677412003634/,24703400000,https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/,6
Automatic Data Processing,ADP,2012Q3,2012-09-30,분기별 매출액,재분류(미반영),2637500000,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867012000009/,2632700000,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/,6
Automatic Data Processing,ADP,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),2747800000,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867013000003/,2742800000,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/,6
Automatic Data Processing,ADP,2013Q1,2013-03-31,분기별 매출액,재분류(미반영),3114300000,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867013000007/,3109300000,https://www.sec.gov/Archives/edgar/data/8670/000000867014000015/,6
Automatic Data Processing,ADP,2013Q2,2013-06-30,분기별 매출액,재분류(미반영),2810500000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/8670/000000867013000015/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867013000007/,957200000,https://www.sec.gov/Archives/edgar/data/8670/000000867015000021/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867014000006/,6
