기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기별 매출액,2443200000,USD,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000008670: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000008670: OperatingIncomeLoss 태그 없음(영업이익 미공시),,6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기별 당기순이익(지배),403600000,USD,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기별 영업활동현금흐름,613700000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867010000005/,누적 1286600000 − 직전누적 672900000 (시작 2009-07-01) ; 값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기말 자산총계,34986200000,USD,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기말 부채총계,29047900000,USD,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기말 총자본(자기자본),5938300000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,"StockholdersEquity, MinorityInterest 태그 없음 ; 값은 XBRL 원문(companyfacts 미반영 보고서)",6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기말 지배지분 자본,5938300000,USD,공시,https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기말 종가,44.47,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ADP?interval=1d&events=splits (2010-03-31),분할조정 종가 39.043 × 이후 분할계수 1.139,6
Automatic Data Processing,ADP,2010Q1,2010-04-30,분기말 상장주식수,502987661,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,dei:EntityCommonStockSharesOutstanding 클래스 합 ; 값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q1,2010-03-31,분기말 시가총액,22367861285,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ADP?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,종가 44.47 × 주식수 502987661 ; 값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q2,2010-06-30,분기별 매출액,2190300000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/8670/000120677410001881/ ; https://www.sec.gov/Archives/edgar/data/8670/000000867010000012/,연간 8927700000 − 9개월누적 6737400000 (Revenues) ; 값은 XBRL 원문(companyfacts 미반영 보고서),6
Automatic Data Processing,ADP,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000008670: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000008670: OperatingIncomeLoss 태그 없음(영업이익 미공시),,6
