기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Ameren,AEE,2010Q1,2010-03-31,분기별 매출액,1940000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1002910/000119312511134059/,원 공시 1916000000 (https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/),14
Ameren,AEE,2010Q1,2010-03-31,분기별 영업이익,298000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,,14
Ameren,AEE,2010Q1,2010-03-31,분기별 당기순이익(지배),102000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,,14
Ameren,AEE,2010Q1,2010-03-31,분기별 영업활동현금흐름,381000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,,14
Ameren,AEE,2010Q1,2010-03-31,분기말 자산총계,23688000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,,14
Ameren,AEE,2010Q1,2010-03-31,분기말 부채총계,15578000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,부채및자본 23688000000 − 총자본 8110000000,14
Ameren,AEE,2010Q1,2010-03-31,분기말 총자본(자기자본),8110000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,,14
Ameren,AEE,2010Q1,2010-03-31,분기말 지배지분 자본,7901000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,,14
Ameren,AEE,2010Q1,2010-03-31,분기말 종가,26.08,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/AEE?interval=1d&events=splits (2010-03-31),,14
Ameren,AEE,2010Q1,2010-04-30,분기말 상장주식수,238286367,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,dei:EntityCommonStockSharesOutstanding 클래스 합,14
Ameren,AEE,2010Q1,2010-03-31,분기말 시가총액,6214508451,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/AEE?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,종가 26.08 × 주식수 238286367,14
Ameren,AEE,2010Q2,2010-06-30,분기별 매출액,1725000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1002910/000119312511216568/,원 공시 1704000000 (https://www.sec.gov/Archives/edgar/data/1002910/000119312510183197/),14
Ameren,AEE,2010Q2,2010-06-30,분기별 영업이익,331000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510183197/,,14
Ameren,AEE,2010Q2,2010-06-30,분기별 당기순이익(지배),152000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510183197/,,14
Ameren,AEE,2010Q2,2010-06-30,분기별 영업활동현금흐름,390000000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/1002910/000119312511216568/ ; https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/,누적 771000000 − 직전누적 381000000 (시작 2010-01-01) ; 원 공시 391000000 (https://www.sec.gov/Archives/edgar/data/1002910/000119312510183197/ ; https://www.sec.gov/Archives/edgar/data/1002910/000119312510114175/),14
Ameren,AEE,2010Q2,2010-06-30,분기말 자산총계,23915000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510183197/,,14
Ameren,AEE,2010Q2,2010-06-30,분기말 부채총계,15715000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1002910/000119312510183197/,부채및자본 23915000000 − 총자본 8200000000,14
Ameren,AEE,2010Q2,2010-06-30,분기말 총자본(자기자본),8200000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1002910/000119312510183197/,,14
