기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
American Electric Power,AEP,2010Q1,2010-03-31,분기별 매출액,3569000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,,9
American Electric Power,AEP,2010Q1,2010-03-31,분기별 영업이익,758000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,,9
American Electric Power,AEP,2010Q1,2010-03-31,분기별 당기순이익(지배),345000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,,9
American Electric Power,AEP,2010Q1,2010-03-31,분기별 영업활동현금흐름,2000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,,9
American Electric Power,AEP,2010Q1,2010-03-31,분기말 자산총계,49625000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,,9
American Electric Power,AEP,2010Q1,2010-03-31,분기말 부채총계,36240000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,메자닌(일시자본) 61000000 별도 (원문 us-gaap:TemporaryEquityCarryingAmount 61000000),9
American Electric Power,AEP,2010Q1,2010-03-31,분기말 총자본(자기자본),13324000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,,9
American Electric Power,AEP,2010Q1,2010-03-31,분기말 지배지분 자본,13324000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,,9
American Electric Power,AEP,2010Q1,2010-03-31,분기말 종가,34.18,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/AEP?interval=1d&events=splits (2010-03-31),,9
American Electric Power,AEP,2010Q1,2010-03-31,분기말 상장주식수,478873651,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
American Electric Power,AEP,2010Q1,2010-03-31,분기말 시가총액,16367901391,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/AEP?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,종가 34.18 × 주식수 478873651,9
American Electric Power,AEP,2010Q2,2010-06-30,분기별 매출액,3360000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,,9
American Electric Power,AEP,2010Q2,2010-06-30,분기별 영업이익,394000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,,9
American Electric Power,AEP,2010Q2,2010-06-30,분기별 당기순이익(지배),136000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,,9
American Electric Power,AEP,2010Q2,2010-06-30,분기별 영업활동현금흐름,580000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/ ; https://www.sec.gov/Archives/edgar/data/4904/000000490410000063/,누적 582000000 − 직전누적 2000000 (시작 2010-01-01),9
American Electric Power,AEP,2010Q2,2010-06-30,분기말 자산총계,49937000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,,9
American Electric Power,AEP,2010Q2,2010-06-30,분기말 부채총계,36607000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,메자닌(일시자본) 60000000 별도 (원문 us-gaap:TemporaryEquityCarryingAmount 60000000),9
American Electric Power,AEP,2010Q2,2010-06-30,분기말 총자본(자기자본),13270000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,,9
American Electric Power,AEP,2010Q2,2010-06-30,분기말 지배지분 자본,13269000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,,9
American Electric Power,AEP,2010Q2,2010-06-30,분기말 종가,32.3,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/AEP?interval=1d&events=splits (2010-06-30),,9
American Electric Power,AEP,2010Q2,2010-06-30,분기말 상장주식수,479437027000000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
American Electric Power,AEP,2010Q2,2010-06-30,분기말 시가총액,15485815972099998,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/AEP?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,종가 32.3 × 주식수 479437027000000,9
American Electric Power,AEP,2010Q3,2010-09-30,분기별 매출액,4064000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,,9
American Electric Power,AEP,2010Q3,2010-09-30,분기별 영업이익,1025000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,,9
American Electric Power,AEP,2010Q3,2010-09-30,분기별 당기순이익(지배),556000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,,9
American Electric Power,AEP,2010Q3,2010-09-30,분기별 영업활동현금흐름,1120000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/ ; https://www.sec.gov/Archives/edgar/data/4904/000000490410000112/,누적 1702000000 − 직전누적 582000000 (시작 2010-01-01),9
American Electric Power,AEP,2010Q3,2010-09-30,분기말 자산총계,49892000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,,9
American Electric Power,AEP,2010Q3,2010-09-30,분기말 부채총계,36176000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,메자닌(일시자본) 60000000 별도 (원문 us-gaap:TemporaryEquityCarryingAmount 60000000),9
American Electric Power,AEP,2010Q3,2010-09-30,분기말 총자본(자기자본),13656000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,,9
American Electric Power,AEP,2010Q3,2010-09-30,분기말 지배지분 자본,13656000000,USD,공시,https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,,9
American Electric Power,AEP,2010Q3,2010-09-30,분기말 종가,36.23,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/AEP?interval=1d&events=splits (2010-09-30),,9
American Electric Power,AEP,2010Q3,2010-09-30,분기말 상장주식수,480276270000000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/4904/000000490410000143/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
