기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Akamai,AKAM,2011Q4,2011-12-31,분기별 영업활동현금흐름,재작성 반영,135907000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1086222/000126643212000010/ ; https://www.sec.gov/Archives/edgar/data/1086222/000144530511003341/,129630000,https://www.sec.gov/Archives/edgar/data/1086222/000154256714000009/ ; https://www.sec.gov/Archives/edgar/data/1086222/000144530511003341/,24
Akamai,AKAM,2012Q3,2012-09-30,분기별 영업활동현금흐름,재작성 반영,141496000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1086222/000126643212000082/ ; https://www.sec.gov/Archives/edgar/data/1086222/000154256712000005/,135252000,https://www.sec.gov/Archives/edgar/data/1086222/000154256713000046/ ; https://www.sec.gov/Archives/edgar/data/1086222/000154256712000005/,24
Akamai,AKAM,2012Q4,2012-12-31,분기별 영업활동현금흐름,재작성 반영,146854000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1086222/000126643213000021/ ; https://www.sec.gov/Archives/edgar/data/1086222/000126643212000082/,152713000,https://www.sec.gov/Archives/edgar/data/1086222/000108622215000066/ ; https://www.sec.gov/Archives/edgar/data/1086222/000154256713000046/,24
Akamai,AKAM,2013Q1,2013-03-31,분기별 영업활동현금흐름,재작성 반영,103040000,공시,https://www.sec.gov/Archives/edgar/data/1086222/000154256713000005/,93224000,https://www.sec.gov/Archives/edgar/data/1086222/000154256714000015/,24
Akamai,AKAM,2013Q2,2013-06-30,분기별 영업활동현금흐름,재작성 반영,129722000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1086222/000154256713000027/ ; https://www.sec.gov/Archives/edgar/data/1086222/000154256713000005/,141064000,https://www.sec.gov/Archives/edgar/data/1086222/000154256714000021/ ; https://www.sec.gov/Archives/edgar/data/1086222/000154256714000015/,24
Akamai,AKAM,2013Q3,2013-09-30,분기별 영업활동현금흐름,재작성 반영,159414000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1086222/000154256713000046/ ; https://www.sec.gov/Archives/edgar/data/1086222/000154256713000027/,157888000,https://www.sec.gov/Archives/edgar/data/1086222/000154256713000046/ ; https://www.sec.gov/Archives/edgar/data/1086222/000154256714000021/,24
Akamai,AKAM,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,217791000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/ ; https://www.sec.gov/Archives/edgar/data/1086222/000108622215000181/,247092000,https://www.sec.gov/Archives/edgar/data/1086222/000108622218000052/ ; https://www.sec.gov/Archives/edgar/data/1086222/000108622215000181/,24
Akamai,AKAM,2015Q4,2015-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),4187925000,공시,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/,,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/,24
Akamai,AKAM,2015Q4,2015-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1067047000,공시,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/,,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/,24
Akamai,AKAM,2015Q4,2015-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3120878000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/,,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/,24
