기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Albemarle,ALB,2010Q1,2010-03-31,분기별 매출액,580270000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-04-28 제출본의 비교기간에서 읽었다,26
Albemarle,ALB,2010Q1,2010-03-31,분기별 영업이익,76264000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-28 제출본의 비교기간에서 읽었다,26
Albemarle,ALB,2010Q1,2010-03-31,분기별 당기순이익(지배),63308000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-28 제출본의 비교기간에서 읽었다,26
Albemarle,ALB,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/915913/000119312510112127/,,26
Albemarle,ALB,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/915913/000119312510112127/,,26
Albemarle,ALB,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/915913/000119312510112127/,,26
Albemarle,ALB,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/915913/000119312510112127/,,26
Albemarle,ALB,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/915913/000119312510112127/,,26
Albemarle,ALB,2010Q1,2010-03-31,분기말 종가,42.63,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2010-03-31),,26
Albemarle,ALB,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,26
Albemarle,ALB,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,26
Albemarle,ALB,2010Q2,2010-06-30,분기별 매출액,592483000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,,26
Albemarle,ALB,2010Q2,2010-06-30,분기별 영업이익,106635000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,,26
Albemarle,ALB,2010Q2,2010-06-30,분기별 당기순이익(지배),81751000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,,26
Albemarle,ALB,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,,26
Albemarle,ALB,2010Q2,2010-06-30,분기말 자산총계,2731070000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,,26
Albemarle,ALB,2010Q2,2010-06-30,분기말 부채총계,1481608000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,부채및자본 2731070000 − 총자본 1249462000,26
Albemarle,ALB,2010Q2,2010-06-30,분기말 총자본(자기자본),1249462000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,,26
Albemarle,ALB,2010Q2,2010-06-30,분기말 지배지분 자본,1197490000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,,26
Albemarle,ALB,2010Q2,2010-06-30,분기말 종가,39.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2010-06-30),,26
Albemarle,ALB,2010Q2,2010-07-28,분기말 상장주식수,91296058,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2010Q2,2010-06-30,분기말 시가총액,3625366463,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,종가 39.71 × 주식수 91296058,26
Albemarle,ALB,2010Q3,2010-09-30,분기별 매출액,585036000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,,26
Albemarle,ALB,2010Q3,2010-09-30,분기별 영업이익,120563000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,,26
Albemarle,ALB,2010Q3,2010-09-30,분기별 당기순이익(지배),93689000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,,26
Albemarle,ALB,2010Q3,2010-09-30,분기별 영업활동현금흐름,141588000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312510180498/,누적 275732000 − 직전누적 134144000 (시작 2010-01-01),26
Albemarle,ALB,2010Q3,2010-09-30,분기말 자산총계,2936660000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,,26
Albemarle,ALB,2010Q3,2010-09-30,분기말 부채총계,1498619000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,부채및자본 2936660000 − 총자본 1438041000,26
Albemarle,ALB,2010Q3,2010-09-30,분기말 총자본(자기자본),1438041000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,,26
Albemarle,ALB,2010Q3,2010-09-30,분기말 지배지분 자본,1382735000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,,26
Albemarle,ALB,2010Q3,2010-09-30,분기말 종가,46.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2010-09-30),,26
Albemarle,ALB,2010Q3,2010-10-25,분기말 상장주식수,91570922,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2010Q3,2010-09-30,분기말 시가총액,4286434859,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,종가 46.81 × 주식수 91570922,26
Albemarle,ALB,2010Q4,2010-12-31,분기별 매출액,604975000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,연간 2362764000 − 9개월누적 1757789000 (SalesRevenueNet),26
Albemarle,ALB,2010Q4,2010-12-31,분기별 영업이익,98481000,USD,계산(연간-3분기누적)(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,연간 401943000 − 9개월누적 303462000 (OperatingIncomeLoss) ; 원 공시 111386000 (https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/),26
Albemarle,ALB,2010Q4,2010-12-31,분기별 당기순이익(지배),77030000,USD,계산(연간-3분기누적)(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,연간 315778000 − 9개월누적 238748000 (NetIncomeLoss) ; 원 공시 84972000 (https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/),26
Albemarle,ALB,2010Q4,2010-12-31,분기별 영업활동현금흐름,55577000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312510240748/,누적 331309000 − 직전누적 275732000 (시작 2010-01-01),26
Albemarle,ALB,2010Q4,2010-12-31,분기말 자산총계,3068081000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/,,26
Albemarle,ALB,2010Q4,2010-12-31,분기말 부채총계,1592335000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/,부채및자본 3068081000 − 총자본 1475746000,26
Albemarle,ALB,2010Q4,2010-12-31,분기말 총자본(자기자본),1475746000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/,,26
Albemarle,ALB,2010Q4,2010-12-31,분기말 지배지분 자본,1416074000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/,,26
Albemarle,ALB,2010Q4,2010-12-31,분기말 종가,55.78,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2010-12-31),,26
Albemarle,ALB,2010Q4,2011-02-15,분기말 상장주식수,91633335,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2010Q4,2010-12-31,분기말 시가총액,5111307426,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/915913/000119312511047404/,종가 55.78 × 주식수 91633335,26
Albemarle,ALB,2011Q1,2011-03-31,분기별 매출액,696530000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,,26
Albemarle,ALB,2011Q1,2011-03-31,분기별 영업이익,142362000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,,26
Albemarle,ALB,2011Q1,2011-03-31,분기별 당기순이익(지배),111061000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/,원 공시 106580000 (https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/),26
Albemarle,ALB,2011Q1,2011-03-31,분기별 영업활동현금흐름,46556000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,,26
Albemarle,ALB,2011Q1,2011-03-31,분기말 자산총계,3139881000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,,26
Albemarle,ALB,2011Q1,2011-03-31,분기말 부채총계,1477213000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,부채및자본 3139881000 − 총자본 1662668000,26
Albemarle,ALB,2011Q1,2011-03-31,분기말 총자본(자기자본),1662668000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,,26
Albemarle,ALB,2011Q1,2011-03-31,분기말 지배지분 자본,1596109000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,,26
Albemarle,ALB,2011Q1,2011-03-31,분기말 종가,59.77,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-03-31),,26
Albemarle,ALB,2011Q1,2011-04-22,분기말 상장주식수,91692039,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2011Q1,2011-03-31,분기말 시가총액,5480433171,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,종가 59.77 × 주식수 91692039,26
Albemarle,ALB,2011Q2,2011-06-30,분기별 매출액,742108000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,,26
Albemarle,ALB,2011Q2,2011-06-30,분기별 영업이익,149095000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,,26
Albemarle,ALB,2011Q2,2011-06-30,분기별 당기순이익(지배),114843000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/,원 공시 114159000 (https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/),26
Albemarle,ALB,2011Q2,2011-06-30,분기별 영업활동현금흐름,99614000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511114734/,누적 146170000 − 직전누적 46556000 (시작 2011-01-01),26
Albemarle,ALB,2011Q2,2011-06-30,분기말 자산총계,3292347000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,,26
Albemarle,ALB,2011Q2,2011-06-30,분기말 부채총계,1490228000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,부채및자본 3292347000 − 총자본 1802119000,26
Albemarle,ALB,2011Q2,2011-06-30,분기말 총자본(자기자본),1802119000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,,26
Albemarle,ALB,2011Q2,2011-06-30,분기말 지배지분 자본,1726028000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,,26
Albemarle,ALB,2011Q2,2011-06-30,분기말 종가,69.2,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-06-30),,26
Albemarle,ALB,2011Q2,2011-07-20,분기말 상장주식수,91742444,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2011Q2,2011-06-30,분기말 시가총액,6348577125,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-06-30) ; https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,종가 69.2 × 주식수 91742444,26
Albemarle,ALB,2011Q3,2011-09-30,분기별 매출액,722977000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,,26
Albemarle,ALB,2011Q3,2011-09-30,분기별 영업이익,160309000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,,26
Albemarle,ALB,2011Q3,2011-09-30,분기별 당기순이익(지배),120662000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000119312513062728/,원 공시 116098000 (https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/),26
Albemarle,ALB,2011Q3,2011-09-30,분기별 영업활동현금흐름,139297000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511197105/,누적 285467000 − 직전누적 146170000 (시작 2011-01-01),26
Albemarle,ALB,2011Q3,2011-09-30,분기말 자산총계,3269055000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,,26
Albemarle,ALB,2011Q3,2011-09-30,분기말 부채총계,1598432000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,부채및자본 3269055000 − 총자본 1670623000,26
Albemarle,ALB,2011Q3,2011-09-30,분기말 총자본(자기자본),1670623000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,,26
Albemarle,ALB,2011Q3,2011-09-30,분기말 지배지분 자본,1587571000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,,26
Albemarle,ALB,2011Q3,2011-09-30,분기말 종가,40.4,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-09-30),,26
Albemarle,ALB,2011Q3,2011-10-19,분기말 상장주식수,88761049,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2011Q3,2011-09-30,분기말 시가총액,3585946380,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-09-30) ; https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,종가 40.4 × 주식수 88761049,26
Albemarle,ALB,2011Q4,2011-12-31,분기별 매출액,707390000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,연간 2869005000 − 9개월누적 2161615000 (SalesRevenueNet),26
Albemarle,ALB,2011Q4,2011-12-31,분기별 영업이익,66028000,USD,계산(연간-3분기누적)(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000091591314000008/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,연간 517794000 − 9개월누적 451766000 (OperatingIncomeLoss) ; 원 공시 136074000 (https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/),26
Albemarle,ALB,2011Q4,2011-12-31,분기별 당기순이익(지배),55277000,USD,계산(연간-3분기누적)(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000091591314000008/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,연간 392114000 − 9개월누적 336837000 (NetIncomeLoss) ; 원 공시 99443000 (https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/),26
Albemarle,ALB,2011Q4,2011-12-31,분기별 영업활동현금흐름,201892000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312511279855/,누적 487359000 − 직전누적 285467000 (시작 2011-01-01),26
Albemarle,ALB,2011Q4,2011-12-31,분기말 자산총계,3203824000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/,,26
Albemarle,ALB,2011Q4,2011-12-31,분기말 부채총계,1524997000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/,부채및자본 3203824000 − 총자본 1678827000,26
Albemarle,ALB,2011Q4,2011-12-31,분기말 총자본(자기자본),1678827000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/,,26
Albemarle,ALB,2011Q4,2011-12-31,분기말 지배지분 자본,1591277000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/,,26
Albemarle,ALB,2011Q4,2011-12-30,분기말 종가,51.51,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-12-30),,26
Albemarle,ALB,2011Q4,2012-02-03,분기말 상장주식수,88937768,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2011Q4,2011-12-30,분기말 시가총액,4581184430,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2011-12-30) ; https://www.sec.gov/Archives/edgar/data/915913/000119312512071957/,종가 51.51 × 주식수 88937768,26
Albemarle,ALB,2012Q1,2012-03-31,분기별 매출액,711704000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,,26
Albemarle,ALB,2012Q1,2012-03-31,분기별 영업이익,157927000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000119312513162568/,원 공시 148146000 (https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/),26
Albemarle,ALB,2012Q1,2012-03-31,분기별 당기순이익(지배),114262000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000091591314000008/,원 공시 108043000 (https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/),26
Albemarle,ALB,2012Q1,2012-03-31,분기별 영업활동현금흐름,123544000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,,26
Albemarle,ALB,2012Q1,2012-03-31,분기말 자산총계,3363499000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,,26
Albemarle,ALB,2012Q1,2012-03-31,분기말 부채총계,1556125000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,부채및자본 3363499000 − 총자본 1807374000,26
Albemarle,ALB,2012Q1,2012-03-31,분기말 총자본(자기자본),1807374000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,,26
Albemarle,ALB,2012Q1,2012-03-31,분기말 지배지분 자본,1722937000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,,26
Albemarle,ALB,2012Q1,2012-03-30,분기말 종가,63.92,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2012-03-30),,26
Albemarle,ALB,2012Q1,2012-04-13,분기말 상장주식수,89187407,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Albemarle,ALB,2012Q1,2012-03-30,분기말 시가총액,5700859055,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ALB?interval=1d&events=splits (2012-03-30) ; https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,종가 63.92 × 주식수 89187407,26
Albemarle,ALB,2012Q2,2012-06-30,분기별 매출액,684894000,USD,공시,https://www.sec.gov/Archives/edgar/data/915913/000119312512307324/,,26
Albemarle,ALB,2012Q2,2012-06-30,분기별 영업이익,71939000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000119312513295546/,원 공시 52447000 (https://www.sec.gov/Archives/edgar/data/915913/000119312512307324/),26
Albemarle,ALB,2012Q2,2012-06-30,분기별 당기순이익(지배),50089000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/915913/000091591314000008/,원 공시 37732000 (https://www.sec.gov/Archives/edgar/data/915913/000119312512307324/),26
Albemarle,ALB,2012Q2,2012-06-30,분기별 영업활동현금흐름,61365000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/915913/000119312512307324/ ; https://www.sec.gov/Archives/edgar/data/915913/000119312512170115/,누적 184909000 − 직전누적 123544000 (시작 2012-01-01),26
