기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Allegion,ALLE,2014Q1,2014-03-31,분기별 매출액,재분류(미반영),472500000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000017/,466600000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000013/,27
Allegion,ALLE,2014Q1,2014-03-31,분기별 영업이익,재분류(미반영),66800000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000017/,67800000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000013/,27
Allegion,ALLE,2014Q1,2014-03-31,분기별 당기순이익(지배),재분류(미반영),35600000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000017/,35800000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000013/,27
Allegion,ALLE,2014Q2,2014-06-30,분기별 영업이익,재분류(미반영),89700000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,89300000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000033/,27
Allegion,ALLE,2014Q2,2014-06-30,분기별 당기순이익(지배),재분류(미반영),43500000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,43200000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000033/,27
Allegion,ALLE,2014Q2,2014-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),1968100000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,27
Allegion,ALLE,2014Q2,2014-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),1979300000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,27
Allegion,ALLE,2014Q2,2014-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),-11200000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,27
Allegion,ALLE,2014Q2,2014-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),-42200000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000033/,27
Allegion,ALLE,2014Q3,2014-09-30,분기별 영업이익,재분류(미반영),105600000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,106100000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000046/,27
Allegion,ALLE,2014Q3,2014-09-30,분기별 당기순이익(지배),재분류(미반영),60300000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,60800000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000046/,27
Allegion,ALLE,2014Q3,2014-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),1992200000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,27
Allegion,ALLE,2014Q3,2014-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),1986200000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,27
Allegion,ALLE,2014Q3,2014-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),6000000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,27
Allegion,ALLE,2014Q3,2014-09-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),-30700000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,,https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,27
Allegion,ALLE,2014Q4,2014-12-31,분기별 영업이익,재분류(미반영),63600000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,63100000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924115000046/,27
Allegion,ALLE,2014Q4,2014-12-31,분기별 당기순이익(지배),재분류(미반영),35800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924114000041/,35400000,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924115000046/,27
Allegion,ALLE,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,2285300000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924116000056/,2263000000,https://www.sec.gov/Archives/edgar/data/1579241/000157924118000007/,27
Allegion,ALLE,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,2255600000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924116000056/,2233300000,https://www.sec.gov/Archives/edgar/data/1579241/000157924117000009/,27
Allegion,ALLE,2016Q4,2016-12-31,분기별 영업이익,재분류(미반영),97200000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1579241/000157924117000009/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924116000087/,106000000,https://www.sec.gov/Archives/edgar/data/1579241/000157924119000006/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924116000087/,27
Allegion,ALLE,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,98800000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924117000021/,99500000,https://www.sec.gov/Archives/edgar/data/1579241/000157924118000020/,27
Allegion,ALLE,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,126100000,공시,https://www.sec.gov/Archives/edgar/data/1579241/000157924117000052/,127100000,https://www.sec.gov/Archives/edgar/data/1579241/000157924118000037/,27
Allegion,ALLE,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,129200000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1579241/000157924118000007/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924117000052/,126600000,https://www.sec.gov/Archives/edgar/data/1579241/000157924118000007/ ; https://www.sec.gov/Archives/edgar/data/1579241/000157924118000037/,27
