기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Applied Materials,AMAT,2010Q1,2010-05-02,분기별 매출액,2295540000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,,3
Applied Materials,AMAT,2010Q1,2010-05-02,분기별 영업이익,385797000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,,3
Applied Materials,AMAT,2010Q1,2010-05-02,분기별 당기순이익(지배),264004000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,,3
Applied Materials,AMAT,2010Q1,2010-05-02,분기별 영업활동현금흐름,526960000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/ ; https://www.sec.gov/Archives/edgar/data/6951/000095012310022556/,누적 898833000 − 직전누적 371873000 (시작 2009-10-26),3
Applied Materials,AMAT,2010Q1,2010-05-02,분기말 자산총계,10449749000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,,3
Applied Materials,AMAT,2010Q1,2010-05-02,분기말 부채총계,3128668000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,,3
Applied Materials,AMAT,2010Q1,2010-05-02,분기말 총자본(자기자본),7321081000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,"StockholdersEquity, MinorityInterest 태그 없음",3
Applied Materials,AMAT,2010Q1,2010-05-02,분기말 지배지분 자본,7321081000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,,3
Applied Materials,AMAT,2010Q1,2010-04-30,분기말 종가,13.78,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/AMAT?interval=1d&events=splits (2010-04-30),,3
Applied Materials,AMAT,2010Q1,2010-05-02,분기말 상장주식수,1342979263,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Applied Materials,AMAT,2010Q1,2010-04-30,분기말 시가총액,18506254244,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/AMAT?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/6951/000095012310056967/,종가 13.78 × 주식수 1342979263,3
Applied Materials,AMAT,2010Q2,2010-08-01,분기별 매출액,2517790000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310083841/,,3
Applied Materials,AMAT,2010Q2,2010-08-01,분기별 영업이익,182651000,USD,공시,https://www.sec.gov/Archives/edgar/data/6951/000095012310083841/,,3
