기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기별 매출액,2249000000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기별 영업이익,340600000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기별 당기순이익(지배),252000000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기별 영업활동현금흐름,348800000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/ ; https://www.sec.gov/Archives/edgar/data/2969/000095012310005134/,누적 542700000 − 직전누적 193900000 (시작 2009-10-01),9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기말 자산총계,13152600000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기말 부채총계,7734300000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기말 총자본(자기자본),5418300000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기말 지배지분 자본,5265600000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기말 종가,73.95,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-03-31),분할조정 종가 68.4089 × 이후 분할계수 1.081,9
Air Products & Chemicals,APD,2010Q1,2010-04-19,분기말 상장주식수,212352847,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Air Products & Chemicals,APD,2010Q1,2010-03-31,분기말 시가총액,15703493036,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,종가 73.95 × 주식수 212352847,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기별 매출액,2252300000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기별 영업이익,336400000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기별 당기순이익(지배),253200000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기별 영업활동현금흐름,490500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/ ; https://www.sec.gov/Archives/edgar/data/2969/000095012310037984/,누적 1033200000 − 직전누적 542700000 (시작 2009-10-01),9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기말 자산총계,12999400000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기말 부채총계,7627500000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기말 총자본(자기자본),5371900000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기말 지배지분 자본,5231400000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기말 종가,64.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-06-30),분할조정 종가 59.9537 × 이후 분할계수 1.081,9
Air Products & Chemicals,APD,2010Q2,2010-07-19,분기말 상장주식수,212536365,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Air Products & Chemicals,APD,2010Q2,2010-06-30,분기말 시가총액,13774481816,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,종가 64.81 × 주식수 212536365,9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기별 매출액,2351200000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/ ; https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,연간 9026000000 − 9개월누적 6674800000 (SalesRevenueNet),9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기별 영업이익,367000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/ ; https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,연간 1389000000 − 9개월누적 1022000000 (OperatingIncomeLoss),9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기별 당기순이익(지배),272100000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/ ; https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,연간 1029100000 − 9개월누적 757000000 (NetIncomeLoss),9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기별 영업활동현금흐름,489200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/ ; https://www.sec.gov/Archives/edgar/data/2969/000119312510165951/,누적 1522400000 − 직전누적 1033200000 (시작 2009-10-01),9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기말 자산총계,13505900000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/,,9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기말 부채총계,7808300000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/,,9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기말 총자본(자기자본),5697600000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/,,9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기말 지배지분 자본,5546900000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/,,9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기말 종가,82.82,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-09-30),분할조정 종가 76.6142 × 이후 분할계수 1.081,9
Air Products & Chemicals,APD,2010Q3,2010-11-15,분기말 상장주식수,214275258,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Air Products & Chemicals,APD,2010Q3,2010-09-30,분기말 시가총액,17746276868,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/2969/000119312510266784/,종가 82.82 × 주식수 214275258,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기별 매출액,2391700000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기별 영업이익,360600000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기별 당기순이익(지배),268600000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기별 영업활동현금흐름,336600000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기말 자산총계,13459700000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기말 부채총계,7482500000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기말 총자본(자기자본),5977200000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기말 지배지분 자본,5810000000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기말 종가,90.95,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-12-31),분할조정 종가 84.1351 × 이후 분할계수 1.081,9
Air Products & Chemicals,APD,2010Q4,2011-01-18,분기말 상장주식수,214919795,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Air Products & Chemicals,APD,2010Q4,2010-12-31,분기말 시가총액,19546955355,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,종가 90.95 × 주식수 214919795,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기별 매출액,2501300000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기별 영업이익,419500000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기별 당기순이익(지배),304300000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기별 영업활동현금흐름,290100000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/ ; https://www.sec.gov/Archives/edgar/data/2969/000119312511014122/,누적 626700000 − 직전누적 336600000 (시작 2010-10-01),9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기말 자산총계,13820700000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기말 부채총계,7821500000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기말 총자본(자기자본),5999200000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기말 지배지분 자본,5825200000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기말 종가,90.18,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2011-03-31),분할조정 종가 83.4228 × 이후 분할계수 1.081,9
Air Products & Chemicals,APD,2011Q1,2011-04-25,분기말 상장주식수,211896649,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Air Products & Chemicals,APD,2011Q1,2011-03-31,분기말 시가총액,19108839807,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,종가 90.18 × 주식수 211896649,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기별 매출액,2577800000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기별 영업이익,416800000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기별 당기순이익(지배),326500000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기별 영업활동현금흐름,502000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/ ; https://www.sec.gov/Archives/edgar/data/2969/000119312511109451/,누적 1128700000 − 직전누적 626700000 (시작 2010-10-01),9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기말 자산총계,14451500000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기말 부채총계,8054500000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기말 총자본(자기자본),6397000000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기말 지배지분 자본,6232200000,USD,공시,https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기말 종가,95.58,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2011-06-30),분할조정 종가 88.4181 × 이후 분할계수 1.081,9
Air Products & Chemicals,APD,2011Q2,2011-07-18,분기말 상장주식수,213132964,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Air Products & Chemicals,APD,2011Q2,2011-06-30,분기말 시가총액,20371248699,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APD?interval=1d&events=splits (2011-06-30) ; https://www.sec.gov/Archives/edgar/data/2969/000119312511198902/,종가 95.58 × 주식수 213132964,9
