기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Amphenol,APH,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,,6
Amphenol,APH,2010Q1,2010-03-31,분기별 영업이익,145044000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,,6
Amphenol,APH,2010Q1,2010-03-31,분기별 당기순이익(지배),98353000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,,6
Amphenol,APH,2010Q1,2010-03-31,분기별 영업활동현금흐름,31843000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,,6
Amphenol,APH,2010Q1,2010-03-31,분기말 자산총계,3410516000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,,6
Amphenol,APH,2010Q1,2010-03-31,분기말 부채총계,1543075000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,부채및자본 3410516000 − 총자본 1867441000,6
Amphenol,APH,2010Q1,2010-03-31,분기말 총자본(자기자본),1867441000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,,6
Amphenol,APH,2010Q1,2010-03-31,분기말 지배지분 자본,1849961000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,,6
Amphenol,APH,2010Q1,2010-03-31,분기말 종가,42.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APH?interval=1d&events=splits (2010-03-31),분할조정 종가 2.6369 × 이후 분할계수 16,6
Amphenol,APH,2010Q1,2010-04-30,분기말 상장주식수,173552423,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Amphenol,APH,2010Q1,2010-03-31,분기말 시가총액,7322176726,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APH?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,종가 42.19 × 주식수 173552423,6
Amphenol,APH,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,,6
Amphenol,APH,2010Q2,2010-06-30,분기별 영업이익,175625000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,,6
Amphenol,APH,2010Q2,2010-06-30,분기별 당기순이익(지배),129671000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,,6
Amphenol,APH,2010Q2,2010-06-30,분기별 영업활동현금흐름,104028000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/ ; https://www.sec.gov/Archives/edgar/data/820313/000110465910026341/,누적 135871000 − 직전누적 31843000 (시작 2010-01-01),6
Amphenol,APH,2010Q2,2010-06-30,분기말 자산총계,3556768000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,,6
Amphenol,APH,2010Q2,2010-06-30,분기말 부채총계,1575752000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,부채및자본 3556768000 − 총자본 1981016000,6
Amphenol,APH,2010Q2,2010-06-30,분기말 총자본(자기자본),1981016000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,,6
Amphenol,APH,2010Q2,2010-06-30,분기말 지배지분 자본,1953161000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,,6
Amphenol,APH,2010Q2,2010-06-30,분기말 종가,39.28,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APH?interval=1d&events=splits (2010-06-30),분할조정 종가 2.455 × 이후 분할계수 16,6
Amphenol,APH,2010Q2,2010-07-31,분기말 상장주식수,173723308,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Amphenol,APH,2010Q2,2010-06-30,분기말 시가총액,6823851538,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APH?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,종가 39.28 × 주식수 173723308,6
Amphenol,APH,2010Q3,2010-09-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,,6
Amphenol,APH,2010Q3,2010-09-30,분기별 영업이익,189134000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,,6
Amphenol,APH,2010Q3,2010-09-30,분기별 당기순이익(지배),137268000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,,6
Amphenol,APH,2010Q3,2010-09-30,분기별 영업활동현금흐름,128340000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/ ; https://www.sec.gov/Archives/edgar/data/820313/000110465910042600/,누적 264211000 − 직전누적 135871000 (시작 2010-01-01),6
Amphenol,APH,2010Q3,2010-09-30,분기말 자산총계,3968771000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,,6
Amphenol,APH,2010Q3,2010-09-30,분기말 부채총계,1798608000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,부채및자본 3968771000 − 총자본 2170163000,6
Amphenol,APH,2010Q3,2010-09-30,분기말 총자본(자기자본),2170163000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,,6
Amphenol,APH,2010Q3,2010-09-30,분기말 지배지분 자본,2145959000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,,6
Amphenol,APH,2010Q3,2010-09-30,분기말 종가,48.98,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/APH?interval=1d&events=splits (2010-09-30),분할조정 종가 3.0612 × 이후 분할계수 16,6
Amphenol,APH,2010Q3,2010-10-31,분기말 상장주식수,174611626,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Amphenol,APH,2010Q3,2010-09-30,분기말 시가총액,8552477441,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/APH?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,종가 48.98 × 주식수 174611626,6
Amphenol,APH,2010Q4,2010-12-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/,,6
Amphenol,APH,2010Q4,2010-12-31,분기별 영업이익,190554000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/ ; https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,연간 700357000 − 9개월누적 509803000 (OperatingIncomeLoss),6
Amphenol,APH,2010Q4,2010-12-31,분기별 당기순이익(지배),131113000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/ ; https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,연간 496405000 − 9개월누적 365292000 (NetIncomeLoss),6
Amphenol,APH,2010Q4,2010-12-31,분기별 영업활동현금흐름,160682000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/ ; https://www.sec.gov/Archives/edgar/data/820313/000110465910056313/,누적 424893000 − 직전누적 264211000 (시작 2010-01-01),6
Amphenol,APH,2010Q4,2010-12-31,분기말 자산총계,4015857000,USD,공시,https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/,,6
Amphenol,APH,2010Q4,2010-12-31,분기말 부채총계,1673142000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/820313/000110465911010845/,부채및자본 4015857000 − 총자본 2342715000,6
