기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Atmos Energy,ATO,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),34109000,공시,https://www.sec.gov/Archives/edgar/data/731802/000095012310073148/,32259000,https://www.sec.gov/Archives/edgar/data/731802/000095012311100074/,14
Atmos Energy,ATO,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),40191000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/731802/000095012310105040/ ; https://www.sec.gov/Archives/edgar/data/731802/000095012310073148/,25219000,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/ ; https://www.sec.gov/Archives/edgar/data/731802/000095012311072767/,14
Atmos Energy,ATO,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),160109,공시,https://www.sec.gov/Archives/edgar/data/731802/000095012311010942/,150773000,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/,14
Atmos Energy,ATO,2010Q4,2010-12-31,분기별 당기순이익(지배),재분류(미반영),73997,공시,https://www.sec.gov/Archives/edgar/data/731802/000095012311010942/,73997000,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/,14
Atmos Energy,ATO,2010Q4,2010-12-31,분기별 영업활동현금흐름,재분류(미반영),45824,공시,https://www.sec.gov/Archives/edgar/data/731802/000095012311010942/,45824000,https://www.sec.gov/Archives/edgar/data/731802/000119312512046309/,14
Atmos Energy,ATO,2011Q1,2011-03-31,분기별 영업이익,재분류(미반영),217922000,공시,https://www.sec.gov/Archives/edgar/data/731802/000095012311045348/,204624000,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/,14
Atmos Energy,ATO,2011Q1,2011-03-31,분기별 영업활동현금흐름,재분류(미반영),438425176,계산(누적차감),https://www.sec.gov/Archives/edgar/data/731802/000095012311045348/ ; https://www.sec.gov/Archives/edgar/data/731802/000095012311010942/,392647000,https://www.sec.gov/Archives/edgar/data/731802/000095012311045348/ ; https://www.sec.gov/Archives/edgar/data/731802/000119312512046309/,14
Atmos Energy,ATO,2011Q2,2011-06-30,분기별 매출액,재분류(미반영),843615000,공시,https://www.sec.gov/Archives/edgar/data/731802/000095012311072767/,833168000,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/,14
Atmos Energy,ATO,2011Q2,2011-06-30,분기별 영업이익,재분류(미반영),34078000,공시,https://www.sec.gov/Archives/edgar/data/731802/000095012311072767/,31394000,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/,14
Atmos Energy,ATO,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),789260000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/731802/000095012311100074/ ; https://www.sec.gov/Archives/edgar/data/731802/000095012311072767/,728061000,https://www.sec.gov/Archives/edgar/data/731802/000073180213000017/ ; https://www.sec.gov/Archives/edgar/data/731802/000095012311072767/,14
