기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Axon Enterprise,AXON,2013Q2,2013-06-30,분기별 영업이익,재작성 반영,6810214,공시,https://www.sec.gov/Archives/edgar/data/1069183/000119312513324286/,6809000,https://www.sec.gov/Archives/edgar/data/1069183/000119312514296023/,12
Axon Enterprise,AXON,2014Q2,2014-06-30,분기별 당기순이익(지배),재작성 반영,3884000,공시,https://www.sec.gov/Archives/edgar/data/1069183/000119312514296023/,3883000,https://www.sec.gov/Archives/edgar/data/1069183/000106918316000148/,12
Axon Enterprise,AXON,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,-4034000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069183/000106918317000042/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918316000234/,-824000,https://www.sec.gov/Archives/edgar/data/1069183/000106918319000023/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918316000234/,12
Axon Enterprise,AXON,2017Q2,2017-06-30,분기별 영업활동현금흐름,재작성 반영,-5837000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069183/000106918317000117/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918317000081/,-5849000,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000088/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918317000081/,12
Axon Enterprise,AXON,2017Q3,2017-09-30,분기별 영업활동현금흐름,재작성 반영,6611000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069183/000106918317000136/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918317000117/,6607000,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000114/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918318000088/,12
Axon Enterprise,AXON,2017Q4,2017-12-31,분기별 영업활동현금흐름,재작성 반영,24325000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069183/000106918318000020/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918317000136/,24322000,https://www.sec.gov/Archives/edgar/data/1069183/000106918320000016/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918318000114/,12
Axon Enterprise,AXON,2018Q1,2018-03-31,분기별 영업활동현금흐름,재작성 반영,18053000,공시,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000041/,18044000,https://www.sec.gov/Archives/edgar/data/1069183/000106918319000066/,12
Axon Enterprise,AXON,2018Q2,2018-06-30,분기별 영업활동현금흐름,재작성 반영,-1947000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069183/000106918318000088/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918318000041/,-1938000,https://www.sec.gov/Archives/edgar/data/1069183/000106918318000088/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918319000066/,12
Axon Enterprise,AXON,2021Q4,2021-12-31,분기별 매출액,재작성 반영,217578000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/ ; https://www.sec.gov/Archives/edgar/data/1069183/000155837021016019/,219835000,https://www.sec.gov/Archives/edgar/data/1069183/000106918324000061/ ; https://www.sec.gov/Archives/edgar/data/1069183/000155837021016019/,12
Axon Enterprise,AXON,2021Q4,2021-12-31,분기별 영업이익,재작성 반영,-27066000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/ ; https://www.sec.gov/Archives/edgar/data/1069183/000155837021016019/,-22092000,https://www.sec.gov/Archives/edgar/data/1069183/000106918324000061/ ; https://www.sec.gov/Archives/edgar/data/1069183/000155837021016019/,12
Axon Enterprise,AXON,2021Q4,2021-12-31,분기별 당기순이익(지배),재작성 반영,-13508000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/ ; https://www.sec.gov/Archives/edgar/data/1069183/000155837021016019/,-9829000,https://www.sec.gov/Archives/edgar/data/1069183/000106918324000061/ ; https://www.sec.gov/Archives/edgar/data/1069183/000155837021016019/,12
Axon Enterprise,AXON,2021Q4,2021-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1688210000,공시,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/,,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/,12
Axon Enterprise,AXON,2021Q4,2021-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),640361000,공시,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/,,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/,12
Axon Enterprise,AXON,2021Q4,2021-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1047849000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/,,https://www.sec.gov/Archives/edgar/data/1069183/000155837022002006/,12
Axon Enterprise,AXON,2022Q4,2022-12-31,분기별 매출액,재작성 반영,336142000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069183/000155837023002413/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918322000055/,333350000,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000075/ ; https://www.sec.gov/Archives/edgar/data/1069183/000106918322000055/,12
