기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Boeing,BA,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),1597000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/12927/000119312512048565/ ; https://www.sec.gov/Archives/edgar/data/12927/000119312511281613/,1576000000,https://www.sec.gov/Archives/edgar/data/12927/000001292714000004/ ; https://www.sec.gov/Archives/edgar/data/12927/000119312511281613/,5
Boeing,BA,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),1570000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312512181463/,1565000000,https://www.sec.gov/Archives/edgar/data/12927/000001292714000004/,5
Boeing,BA,2012Q2,2012-06-30,분기별 영업이익,재분류(미반영),1548000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292712000012/,1542000000,https://www.sec.gov/Archives/edgar/data/12927/000001292714000004/,5
Boeing,BA,2012Q3,2012-09-30,분기별 영업이익,재분류(미반영),1564000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292712000024/,1559000000,https://www.sec.gov/Archives/edgar/data/12927/000001292714000004/,5
Boeing,BA,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),1629000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/12927/000001292713000014/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292712000024/,1624000000,https://www.sec.gov/Archives/edgar/data/12927/000001292715000011/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292713000041/,5
Boeing,BA,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,99198000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292715000011/,92921000000,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/,5
Boeing,BA,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,90408000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/12927/000001292715000011/,84131000000,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/,5
Boeing,BA,2015Q4,2015-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),6397000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/,,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/,5
Boeing,BA,2015Q4,2015-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),6335000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/,,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/,5
Boeing,BA,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,1231000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292716000113/,1275000000,https://www.sec.gov/Archives/edgar/data/12927/000001292717000024/,5
Boeing,BA,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,3234000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/12927/000001292716000143/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000113/,3190000000,https://www.sec.gov/Archives/edgar/data/12927/000001292716000143/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292717000024/,5
Boeing,BA,2016Q4,2016-12-31,분기별 매출액,재작성 반영,23286000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,22211000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,5
Boeing,BA,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,2183000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,2876000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,5
Boeing,BA,2016Q4,2016-12-31,분기별 당기순이익(지배),재작성 반영,1631000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,1770000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,5
Boeing,BA,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,2832000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,2829000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/ ; https://www.sec.gov/Archives/edgar/data/12927/000001292716000153/,5
Boeing,BA,2016Q4,2016-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),877000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/,,https://www.sec.gov/Archives/edgar/data/12927/000001292717000012/,5
Boeing,BA,2016Q4,2016-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),817000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/,,https://www.sec.gov/Archives/edgar/data/12927/000001292717000012/,5
Boeing,BA,2017Q1,2017-03-31,분기별 매출액,재작성 반영,20976000000,공시,https://www.sec.gov/Archives/edgar/data/12927/000001292717000024/,21961000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/,5
