기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Boeing,BA,2010Q1,2010-03-31,분기별 매출액,15216000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,,5
Boeing,BA,2010Q1,2010-03-31,분기별 영업이익,1174000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,,5
Boeing,BA,2010Q1,2010-03-31,분기별 당기순이익(지배),519000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,,5
Boeing,BA,2010Q1,2010-03-31,분기별 영업활동현금흐름,-285000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,,5
Boeing,BA,2010Q1,2010-03-31,분기말 자산총계,62970000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,,5
Boeing,BA,2010Q1,2010-03-31,분기말 부채총계,59931000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,부채및자본 62970000000 − 총자본 3039000000,5
Boeing,BA,2010Q1,2010-03-31,분기말 총자본(자기자본),3039000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,,5
Boeing,BA,2010Q1,2010-03-31,분기말 지배지분 자본,2942000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,,5
Boeing,BA,2010Q1,2010-03-31,분기말 종가,72.61,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/BA?interval=1d&events=splits (2010-03-31),,5
Boeing,BA,2010Q1,2010-04-16,분기말 상장주식수,759036516,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
Boeing,BA,2010Q1,2010-03-31,분기말 시가총액,55113641427,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/BA?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,종가 72.61 × 주식수 759036516,5
Boeing,BA,2010Q2,2010-06-30,분기별 매출액,15573000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,,5
Boeing,BA,2010Q2,2010-06-30,분기별 영업이익,1307000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,,5
Boeing,BA,2010Q2,2010-06-30,분기별 당기순이익(지배),787000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,,5
Boeing,BA,2010Q2,2010-06-30,분기별 영업활동현금흐름,266000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/ ; https://www.sec.gov/Archives/edgar/data/12927/000119312510088623/,누적 -19000000 − 직전누적 -285000000 (시작 2010-01-01),5
Boeing,BA,2010Q2,2010-06-30,분기말 자산총계,63755000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,,5
Boeing,BA,2010Q2,2010-06-30,분기말 부채총계,60582000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,,5
Boeing,BA,2010Q2,2010-06-30,분기말 총자본(자기자본),3173000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,,5
Boeing,BA,2010Q2,2010-06-30,분기말 지배지분 자본,3077000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,,5
Boeing,BA,2010Q2,2010-06-30,분기말 종가,62.75,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/BA?interval=1d&events=splits (2010-06-30),,5
Boeing,BA,2010Q2,2010-07-21,분기말 상장주식수,731681424,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
Boeing,BA,2010Q2,2010-06-30,분기말 시가총액,45913009356,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/BA?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/12927/000119312510168724/,종가 62.75 × 주식수 731681424,5
Boeing,BA,2010Q3,2010-09-30,분기별 매출액,16967000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510232425/,,5
Boeing,BA,2010Q3,2010-09-30,분기별 영업이익,1387000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510232425/,,5
Boeing,BA,2010Q3,2010-09-30,분기별 당기순이익(지배),837000000,USD,공시,https://www.sec.gov/Archives/edgar/data/12927/000119312510232425/,,5
