기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Baxter,BAX,2010Q1,2010-03-31,분기별 매출액,2927000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,,28
Baxter,BAX,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,,28
Baxter,BAX,2010Q1,2010-03-31,분기별 당기순이익(지배),-63000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,,28
Baxter,BAX,2010Q1,2010-03-31,분기별 영업활동현금흐름,279000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,,28
Baxter,BAX,2010Q1,2010-03-31,분기말 자산총계,17166000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,,28
Baxter,BAX,2010Q1,2010-03-31,분기말 부채총계,10507000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,부채및자본 17166000000 − 총자본 6659000000,28
Baxter,BAX,2010Q1,2010-03-31,분기말 총자본(자기자본),6659000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,,28
Baxter,BAX,2010Q1,2010-03-31,분기말 지배지분 자본,6429000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,,28
Baxter,BAX,2010Q1,2010-03-31,분기말 종가,58.2,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/BAX?interval=1d&events=splits (2010-03-31),분할조정 종가 31.6133 × 이후 분할계수 1.841,28
Baxter,BAX,2010Q1,2010-04-30,분기말 상장주식수,596452857,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,dei:EntityCommonStockSharesOutstanding 클래스 합,28
Baxter,BAX,2010Q1,2010-03-31,분기말 시가총액,34713556277,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/BAX?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,종가 58.2 × 주식수 596452857,28
Baxter,BAX,2010Q2,2010-06-30,분기별 매출액,3194000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,,28
Baxter,BAX,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,,28
Baxter,BAX,2010Q2,2010-06-30,분기별 당기순이익(지배),535000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,,28
Baxter,BAX,2010Q2,2010-06-30,분기별 영업활동현금흐름,783000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/ ; https://www.sec.gov/Archives/edgar/data/10456/000095012310047224/,누적 1062000000 − 직전누적 279000000 (시작 2010-01-01),28
Baxter,BAX,2010Q2,2010-06-30,분기말 자산총계,16487000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,,28
Baxter,BAX,2010Q2,2010-06-30,분기말 부채총계,10353000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,부채및자본 16487000000 − 총자본 6134000000,28
Baxter,BAX,2010Q2,2010-06-30,분기말 총자본(자기자본),6134000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,,28
Baxter,BAX,2010Q2,2010-06-30,분기말 지배지분 자본,5898000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,,28
Baxter,BAX,2010Q2,2010-06-30,분기말 종가,40.64,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/BAX?interval=1d&events=splits (2010-06-30),분할조정 종가 22.075 × 이후 분할계수 1.841,28
Baxter,BAX,2010Q2,2010-07-28,분기말 상장주식수,584369752,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,dei:EntityCommonStockSharesOutstanding 클래스 합,28
Baxter,BAX,2010Q2,2010-06-30,분기말 시가총액,23748786721,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/BAX?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,종가 40.64 × 주식수 584369752,28
Baxter,BAX,2010Q3,2010-09-30,분기별 매출액,3224000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/,,28
Baxter,BAX,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/,,28
Baxter,BAX,2010Q3,2010-09-30,분기별 당기순이익(지배),525000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/,,28
Baxter,BAX,2010Q3,2010-09-30,분기별 영업활동현금흐름,1006000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/ ; https://www.sec.gov/Archives/edgar/data/10456/000095012310072736/,누적 2068000000 − 직전누적 1062000000 (시작 2010-01-01),28
Baxter,BAX,2010Q3,2010-09-30,분기말 자산총계,17563000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/,,28
Baxter,BAX,2010Q3,2010-09-30,분기말 부채총계,10800000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/,부채및자본 17563000000 − 총자본 6763000000,28
Baxter,BAX,2010Q3,2010-09-30,분기말 총자본(자기자본),6763000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/,,28
Baxter,BAX,2010Q3,2010-09-30,분기말 지배지분 자본,6531000000,USD,공시,https://www.sec.gov/Archives/edgar/data/10456/000095012310100201/,,28
