기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Becton Dickinson,BDX,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),1844854000,공시,https://www.sec.gov/Archives/edgar/data/10795/000095012310045358/,1799409000,https://www.sec.gov/Archives/edgar/data/10795/000095012311044344/,11
Becton Dickinson,BDX,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),430495000,공시,https://www.sec.gov/Archives/edgar/data/10795/000095012310045358/,413648000,https://www.sec.gov/Archives/edgar/data/10795/000095012311044344/,11
Becton Dickinson,BDX,2010Q1,2010-03-31,분기별 영업활동현금흐름,재분류(미반영),292968000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/10795/000095012310045358/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012310009988/,276353000,https://www.sec.gov/Archives/edgar/data/10795/000095012311044344/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311010361/,11
Becton Dickinson,BDX,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),1878229000,공시,https://www.sec.gov/Archives/edgar/data/10795/000095012310072399/,1830911000,https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,11
Becton Dickinson,BDX,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),440100000,공시,https://www.sec.gov/Archives/edgar/data/10795/000095012310072399/,422962000,https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,11
Becton Dickinson,BDX,2010Q2,2010-06-30,분기별 영업활동현금흐름,재분류(미반영),506751000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/10795/000095012310072399/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012310045358/,466660000,https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311044344/,11
Becton Dickinson,BDX,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),1732476000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/10795/000095012310108757/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012310072399/,1625247000,https://www.sec.gov/Archives/edgar/data/10795/000119312512478705/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,11
Becton Dickinson,BDX,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),360182000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/10795/000095012310108757/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012310072399/,316098000,https://www.sec.gov/Archives/edgar/data/10795/000119312512478705/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,11
Becton Dickinson,BDX,2010Q3,2010-09-30,분기별 영업활동현금흐름,재분류(미반영),464670000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/10795/000095012310108757/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012310072399/,472688000,https://www.sec.gov/Archives/edgar/data/10795/000119312512478705/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,11
Becton Dickinson,BDX,2011Q2,2011-06-30,분기별 매출액,재분류(미반영),2014081000,공시,https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,1951889000,https://www.sec.gov/Archives/edgar/data/10795/000119312512337327/,11
Becton Dickinson,BDX,2011Q2,2011-06-30,분기별 영업이익,재분류(미반영),471707000,공시,https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,447191000,https://www.sec.gov/Archives/edgar/data/10795/000119312512337327/,11
Becton Dickinson,BDX,2011Q2,2011-06-30,분기별 영업활동현금흐름,재분류(미반영),467604000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311044344/,410948000,https://www.sec.gov/Archives/edgar/data/10795/000119312512337327/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311044344/,11
Becton Dickinson,BDX,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),2050795000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/10795/000095012311100266/ ; https://www.sec.gov/Archives/edgar/data/10795/000095012311071624/,1988144000,https://www.sec.gov/Archives/edgar/data/10795/000119312513456802/ ; https://www.sec.gov/Archives/edgar/data/10795/000119312512337327/,11
