기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Bloom Energy,BE,2018Q2,2018-06-30,분기별 매출액,재작성 반영,168881000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,138302000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q2,2018-06-30,분기별 영업이익,재작성 반영,-5255000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,-10955000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q2,2018-06-30,분기별 당기순이익(지배),재작성 반영,-45677000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,-55998000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q2,2018-06-30,분기말 자산총계,재작성 반영,1157737000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,1213781000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q2,2018-06-30,분기말 부채총계,재작성 반영,1722540000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,1812698000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q2,2018-06-30,분기말 총자본(자기자본),재작성 반영,-2085584000,계산(지배+비지배),https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,-2119698000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q2,2018-06-30,분기말 지배지분 자본,재작성 반영,-2227017000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,-2261131000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q3,2018-09-30,분기별 매출액,재작성 반영,190190000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,168619000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q3,2018-09-30,분기별 영업이익,재작성 반영,-66111000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,-62006000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q3,2018-09-30,분기별 당기순이익(지배),재작성 반영,-78579000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,-80502000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q3,2018-09-30,분기별 영업활동현금흐름,재작성 반영,4937000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/ ; https://www.sec.gov/Archives/edgar/data/1664703/000162828018011710/,-5847000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/ ; https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q3,2018-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),1445145000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,,https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,31
Bloom Energy,BE,2018Q3,2018-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),1338825000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,,https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기별 매출액,재작성 반영,213606000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/ ; https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,157145000,https://www.sec.gov/Archives/edgar/data/1664703/000166470321000017/ ; https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기별 영업이익,재작성 반영,-88176000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/ ; https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,-98471000,https://www.sec.gov/Archives/edgar/data/1664703/000166470321000017/ ; https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기별 당기순이익(지배),재작성 반영,-99781000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/ ; https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,-115449000,https://www.sec.gov/Archives/edgar/data/1664703/000166470321000017/ ; https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기별 영업활동현금흐름,재작성 반영,-44769000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/ ; https://www.sec.gov/Archives/edgar/data/1664703/000162828018014294/,-45249000,https://www.sec.gov/Archives/edgar/data/1664703/000166470321000017/ ; https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기말 자산총계,재작성 반영,1389668000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/,1521794000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기말 부채총계,재작성 반영,1298958000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/,1482033000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기말 총자본(자기자본),재작성 반영,33449000,계산(지배+비지배),https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/,-17500000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2018Q4,2018-12-31,분기말 지배지분 자본,재작성 반영,-91661000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/,-142610000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기별 매출액,재작성 반영,200707000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,147001000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기별 영업이익,재작성 반영,-72641000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,-86742000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기별 당기순이익(지배),재작성 반영,-84441000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,-104920000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기별 영업활동현금흐름,재작성 반영,-4170000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,-9845000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기말 자산총계,재작성 반영,1318850000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,1488784000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기말 부채총계,재작성 반영,1250823000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,1510181000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기말 총자본(자기자본),재작성 반영,9225000,계산(지배+비지배),https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,-80199000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q1,2019-03-31,분기말 지배지분 자본,재작성 반영,-105439000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000014/,-194863000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000037/,31
Bloom Energy,BE,2019Q2,2019-06-30,분기별 매출액,재작성 반영,233782000,공시,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000025/,200326000,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000061/,31
