기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Bristol Myers Squibb,BMY,2015Q4,2015-12-31,분기별 영업활동현금흐름,재분류(미반영),611000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427215000235/,884000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427215000235/,5
Bristol Myers Squibb,BMY,2016Q1,2016-03-31,분기별 영업활동현금흐름,재분류(미반영),-386000000,공시,https://www.sec.gov/Archives/edgar/data/14272/000001427216000399/,-228000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000132/,5
Bristol Myers Squibb,BMY,2016Q2,2016-06-30,분기별 영업활동현금흐름,재분류(미반영),411000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427216000461/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427216000399/,439000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000165/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427217000132/,5
Bristol Myers Squibb,BMY,2016Q3,2016-09-30,분기별 영업활동현금흐름,재분류(미반영),1397000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427216000491/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427216000461/,1404000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000195/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427217000165/,5
Bristol Myers Squibb,BMY,2016Q4,2016-12-31,분기별 영업활동현금흐름,재분류(미반영),1428000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427216000491/,1443000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427217000195/,5
Bristol Myers Squibb,BMY,2018Q4,2018-12-31,분기별 영업활동현금흐름,재분류(미반영),2429000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427218000197/,3555000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427218000197/,5
Bristol Myers Squibb,BMY,2019Q4,2019-12-31,분기별 영업활동현금흐름,재분류(미반영),2038000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427219000194/,2181000000,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427219000194/,5
Bristol Myers Squibb,BMY,2020Q1,2020-03-31,분기별 영업활동현금흐름,재분류(미반영),3894000000,공시,https://www.sec.gov/Archives/edgar/data/14272/000001427220000168/,3937000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000126/,5
Bristol Myers Squibb,BMY,2020Q2,2020-06-30,분기별 영업활동현금흐름,재분류(미반영),4269000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427220000229/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427220000168/,4493000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000186/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427221000126/,5
Bristol Myers Squibb,BMY,2020Q3,2020-09-30,분기별 영업활동현금흐름,재분류(미반영),2219000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427220000279/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427220000229/,2267000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000224/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427221000186/,5
Bristol Myers Squibb,BMY,2020Q4,2020-12-31,분기별 영업활동현금흐름,재분류(미반영),3670000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427220000279/,3355000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/ ; https://www.sec.gov/Archives/edgar/data/14272/000001427221000224/,5
