기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Boston Scientific,BSX,2012Q4,2012-12-31,분기별 영업활동현금흐름,재분류(미반영),369000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/885725/000088572513000007/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572512000043/,389000000,https://www.sec.gov/Archives/edgar/data/885725/000088572515000006/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572512000043/,9
Boston Scientific,BSX,2013Q1,2013-03-31,분기별 영업활동현금흐름,재분류(미반영),163000000,공시,https://www.sec.gov/Archives/edgar/data/885725/000088572513000015/,187000000,https://www.sec.gov/Archives/edgar/data/885725/000088572514000010/,9
Boston Scientific,BSX,2013Q2,2013-06-30,분기별 영업활동현금흐름,재분류(미반영),396000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/885725/000088572513000037/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572513000015/,397000000,https://www.sec.gov/Archives/edgar/data/885725/000088572514000022/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572514000010/,9
Boston Scientific,BSX,2013Q3,2013-09-30,분기별 영업활동현금흐름,재분류(미반영),250000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/885725/000088572513000045/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572513000037/,251000000,https://www.sec.gov/Archives/edgar/data/885725/000088572514000030/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572514000022/,9
Boston Scientific,BSX,2013Q4,2013-12-31,분기별 영업활동현금흐름,재분류(미반영),273000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/885725/000088572514000005/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572513000045/,275000000,https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572514000030/,9
Boston Scientific,BSX,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,17042000000,공시,https://www.sec.gov/Archives/edgar/data/885725/000088572515000006/,17024000000,https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/,9
Boston Scientific,BSX,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,10585000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/885725/000088572515000006/,10567000000,https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/,9
Boston Scientific,BSX,2015Q4,2015-12-31,분기별 영업이익,재작성 반영,-271000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572515000024/,-227000000,https://www.sec.gov/Archives/edgar/data/885725/000088572518000010/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572515000024/,9
Boston Scientific,BSX,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,329000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/885725/000088572516000028/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572515000024/,420000000,https://www.sec.gov/Archives/edgar/data/885725/000088572518000010/ ; https://www.sec.gov/Archives/edgar/data/885725/000088572515000024/,9
Boston Scientific,BSX,2016Q2,2016-06-30,분기별 매출액,재작성 반영,2288000000,공시,https://www.sec.gov/Archives/edgar/data/885725/000088572516000045/,2127000000,https://www.sec.gov/Archives/edgar/data/885725/000088572517000028/,9
