기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Boston Scientific,BSX,2010Q1,2010-03-31,분기별 매출액,1960000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기별 영업이익,-1486000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기별 당기순이익(지배),-1589000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기별 영업활동현금흐름,-284000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기말 자산총계,22853000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기말 부채총계,12072000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,부채및자본 22853000000 − 총자본 10781000000,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기말 총자본(자기자본),10781000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기말 지배지분 자본,10781000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",9
Boston Scientific,BSX,2010Q1,2010-03-31,분기말 종가,7.22,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/BSX?interval=1d&events=splits (2010-03-31),,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기말 상장주식수,1516323967,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Boston Scientific,BSX,2010Q1,2010-03-31,분기말 시가총액,10947859042,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/BSX?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,종가 7.22 × 주식수 1516323967,9
Boston Scientific,BSX,2010Q2,2010-06-30,분기별 매출액,1928000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310073251/,,9
Boston Scientific,BSX,2010Q2,2010-06-30,분기별 영업이익,231000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310073251/,,9
Boston Scientific,BSX,2010Q2,2010-06-30,분기별 당기순이익(지배),98000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310073251/,,9
Boston Scientific,BSX,2010Q2,2010-06-30,분기별 영업활동현금흐름,286000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/885725/000095012310073251/ ; https://www.sec.gov/Archives/edgar/data/885725/000095012310045592/,누적 2000000 − 직전누적 -284000000 (시작 2010-01-01),9
Boston Scientific,BSX,2010Q2,2010-06-30,분기말 자산총계,23019000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310073251/,,9
Boston Scientific,BSX,2010Q2,2010-06-30,분기말 부채총계,12126000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/885725/000095012310073251/,부채및자본 23019000000 − 총자본 10893000000,9
Boston Scientific,BSX,2010Q2,2010-06-30,분기말 총자본(자기자본),10893000000,USD,공시,https://www.sec.gov/Archives/edgar/data/885725/000095012310073251/,,9
