기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Casey's General Stores,CASY,2011Q4,2012-01-31,분기별 당기순이익(지배),재작성 반영,16699000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312512102675/,16162000,https://www.sec.gov/Archives/edgar/data/726958/000119312514438084/,16
Casey's General Stores,CASY,2012Q1,2012-04-30,분기별 당기순이익(지배),재작성 반영,23069000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/ ; https://www.sec.gov/Archives/edgar/data/726958/000119312512102675/,20972000,https://www.sec.gov/Archives/edgar/data/726958/000119312514438084/ ; https://www.sec.gov/Archives/edgar/data/726958/000119312512102675/,16
Casey's General Stores,CASY,2012Q1,2012-04-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),1774815000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/,,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/,16
Casey's General Stores,CASY,2012Q1,2012-04-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),1268774000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/,,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/,16
Casey's General Stores,CASY,2012Q1,2012-04-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),506041000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/,,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/,16
Casey's General Stores,CASY,2012Q2,2012-07-31,분기별 당기순이익(지배),재작성 반영,39031000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312512386576/,37307000,https://www.sec.gov/Archives/edgar/data/726958/000119312514438084/,16
Casey's General Stores,CASY,2012Q3,2012-10-31,분기별 당기순이익(지배),재작성 반영,32859000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312512496911/,31146000,https://www.sec.gov/Archives/edgar/data/726958/000119312514438084/,16
Casey's General Stores,CASY,2012Q4,2013-01-31,분기별 당기순이익(지배),재작성 반영,15463000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312513101041/,13757000,https://www.sec.gov/Archives/edgar/data/726958/000119312514438084/,16
Casey's General Stores,CASY,2013Q1,2013-04-30,분기별 당기순이익(지배),재작성 반영,23272000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/ ; https://www.sec.gov/Archives/edgar/data/726958/000119312513101041/,16461000,https://www.sec.gov/Archives/edgar/data/726958/000072695815000075/ ; https://www.sec.gov/Archives/edgar/data/726958/000119312513101041/,16
Casey's General Stores,CASY,2013Q1,2013-04-30,분기말 자산총계,재작성 반영,1984018000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/,1990168000,https://www.sec.gov/Archives/edgar/data/726958/000119312514438084/,16
Casey's General Stores,CASY,2013Q1,2013-04-30,분기말 부채총계,재작성 반영,1381723000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/,1396781000,https://www.sec.gov/Archives/edgar/data/726958/000119312514438084/,16
Casey's General Stores,CASY,2013Q1,2013-04-30,분기말 총자본(자기자본),재작성 반영,602295000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/,593387000,https://www.sec.gov/Archives/edgar/data/726958/000072695816000258/,16
Casey's General Stores,CASY,2013Q1,2013-04-30,분기말 지배지분 자본,재작성 반영,602295000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/,593387000,https://www.sec.gov/Archives/edgar/data/726958/000072695816000258/,16
Casey's General Stores,CASY,2013Q2,2013-07-31,분기별 당기순이익(지배),재작성 반영,55710000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312513361404/,53795000,https://www.sec.gov/Archives/edgar/data/726958/000072695815000075/,16
Casey's General Stores,CASY,2013Q3,2013-10-31,분기별 당기순이익(지배),재작성 반영,41319000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312513466758/,39430000,https://www.sec.gov/Archives/edgar/data/726958/000072695815000075/,16
Casey's General Stores,CASY,2013Q4,2014-01-31,분기별 당기순이익(지배),재작성 반영,14669000,공시,https://www.sec.gov/Archives/edgar/data/726958/000119312514091473/,12663000,https://www.sec.gov/Archives/edgar/data/726958/000072695815000075/,16
