기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Caterpillar,CAT,2010Q1,2010-03-31,분기별 매출액,8238000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,,3
Caterpillar,CAT,2010Q1,2010-03-31,분기별 영업이익,508000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,,3
Caterpillar,CAT,2010Q1,2010-03-31,분기별 당기순이익(지배),233000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,,3
Caterpillar,CAT,2010Q1,2010-03-31,분기별 영업활동현금흐름,716000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/18230/000110465911027403/,원 공시 551000000 (https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/),3
Caterpillar,CAT,2010Q1,2010-03-31,분기말 자산총계,58836000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,,3
Caterpillar,CAT,2010Q1,2010-03-31,분기말 부채총계,49362000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,메자닌(일시자본) 452000000 별도 (원문 us-gaap:TemporaryEquityRedemptionValue 452000000),3
Caterpillar,CAT,2010Q1,2010-03-31,분기말 총자본(자기자본),9022000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,,3
Caterpillar,CAT,2010Q1,2010-03-31,분기말 지배지분 자본,8942000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,총자본 9022000000 − 비지배 80000000,3
Caterpillar,CAT,2010Q1,2010-03-31,분기말 종가,62.85,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CAT?interval=1d&events=splits (2010-03-31),,3
Caterpillar,CAT,2010Q1,2010-03-31,분기말 상장주식수,627745394,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Caterpillar,CAT,2010Q1,2010-03-31,분기말 시가총액,39453798013,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CAT?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/,종가 62.85 × 주식수 627745394,3
Caterpillar,CAT,2010Q2,2010-06-30,분기별 매출액,10409000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,,3
Caterpillar,CAT,2010Q2,2010-06-30,분기별 영업이익,977000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,,3
Caterpillar,CAT,2010Q2,2010-06-30,분기별 당기순이익(지배),707000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,,3
Caterpillar,CAT,2010Q2,2010-06-30,분기별 영업활동현금흐름,1195000000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/18230/000110465911043575/ ; https://www.sec.gov/Archives/edgar/data/18230/000110465911027403/,누적 1911000000 − 직전누적 716000000 (시작 2010-01-01) ; 원 공시 1192000000 (https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/ ; https://www.sec.gov/Archives/edgar/data/18230/000001823010000234/),3
Caterpillar,CAT,2010Q2,2010-06-30,분기말 자산총계,58793000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,,3
Caterpillar,CAT,2010Q2,2010-06-30,분기말 부채총계,49089000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,메자닌(일시자본) 432000000 별도 (원문 us-gaap:TemporaryEquityRedemptionValue 432000000),3
Caterpillar,CAT,2010Q2,2010-06-30,분기말 총자본(자기자본),9272000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,,3
Caterpillar,CAT,2010Q2,2010-06-30,분기말 지배지분 자본,9185000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,총자본 9272000000 − 비지배 87000000,3
Caterpillar,CAT,2010Q2,2010-06-30,분기말 종가,60.07,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CAT?interval=1d&events=splits (2010-06-30),,3
Caterpillar,CAT,2010Q2,2010-06-30,분기말 상장주식수,630472409,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Caterpillar,CAT,2010Q2,2010-06-30,분기말 시가총액,37872477609,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CAT?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/,종가 60.07 × 주식수 630472409,3
Caterpillar,CAT,2010Q3,2010-09-30,분기별 매출액,11134000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,,3
Caterpillar,CAT,2010Q3,2010-09-30,분기별 영업이익,1187000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,,3
Caterpillar,CAT,2010Q3,2010-09-30,분기별 당기순이익(지배),792000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,,3
Caterpillar,CAT,2010Q3,2010-09-30,분기별 영업활동현금흐름,921000000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/ ; https://www.sec.gov/Archives/edgar/data/18230/000110465911043575/,누적 2832000000 − 직전누적 1911000000 (시작 2010-01-01) ; 원 공시 1089000000 (https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/ ; https://www.sec.gov/Archives/edgar/data/18230/000110465910046030/),3
Caterpillar,CAT,2010Q3,2010-09-30,분기말 자산총계,61642000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,,3
Caterpillar,CAT,2010Q3,2010-09-30,분기말 부채총계,51310000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,메자닌(일시자본) 457000000 별도 (원문 us-gaap:TemporaryEquityRedemptionValue 457000000),3
Caterpillar,CAT,2010Q3,2010-09-30,분기말 총자본(자기자본),9875000000,USD,공시,https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,,3
Caterpillar,CAT,2010Q3,2010-09-30,분기말 지배지분 자본,9837000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,총자본 9875000000 − 비지배 38000000,3
Caterpillar,CAT,2010Q3,2010-09-30,분기말 종가,78.68,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CAT?interval=1d&events=splits (2010-09-30),,3
Caterpillar,CAT,2010Q3,2010-09-30,분기말 상장주식수,634702801,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Caterpillar,CAT,2010Q3,2010-09-30,분기말 시가총액,49938416383,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CAT?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,종가 78.68 × 주식수 634702801,3
Caterpillar,CAT,2010Q4,2010-12-31,분기별 매출액,12807000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/ ; https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,연간 42588000000 − 9개월누적 29781000000 (Revenues),3
Caterpillar,CAT,2010Q4,2010-12-31,분기별 영업이익,1291000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/ ; https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,연간 3963000000 − 9개월누적 2672000000 (OperatingIncomeLoss),3
Caterpillar,CAT,2010Q4,2010-12-31,분기별 당기순이익(지배),968000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/ ; https://www.sec.gov/Archives/edgar/data/18230/000110465910055930/,연간 2700000000 − 9개월누적 1732000000 (NetIncomeLoss),3
Caterpillar,CAT,2010Q4,2010-12-31,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/,,3
