기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Clorox,CLX,2010Q2,2010-06-30,분기말 자산총계,재작성 반영,4555000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/,4548000000,https://www.sec.gov/Archives/edgar/data/21076/000120677411001954/,30
Clorox,CLX,2010Q2,2010-06-30,분기말 부채총계,재작성 반영,4472000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/,4465000000,https://www.sec.gov/Archives/edgar/data/21076/000120677411001954/,30
Clorox,CLX,2013Q2,2013-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),4311000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/,,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/,30
Clorox,CLX,2013Q2,2013-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),4165000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/,,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/,30
Clorox,CLX,2013Q2,2013-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),146000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/,,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/,30
Clorox,CLX,2013Q3,2013-09-30,분기별 매출액,재분류(미반영),1364000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677413003934/,1343000000,https://www.sec.gov/Archives/edgar/data/21076/000120677414003199/,30
Clorox,CLX,2013Q4,2013-12-31,분기별 매출액,재분류(미반영),1330000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677414000411/,1308000000,https://www.sec.gov/Archives/edgar/data/21076/000120677415000394/,30
Clorox,CLX,2014Q1,2014-03-31,분기별 매출액,재분류(미반영),1386000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677414001486/,1366000000,https://www.sec.gov/Archives/edgar/data/21076/000120677415001565/,30
Clorox,CLX,2014Q2,2014-06-30,분기별 매출액,재분류(미반영),1511000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/ ; https://www.sec.gov/Archives/edgar/data/21076/000120677414001486/,1497000000,https://www.sec.gov/Archives/edgar/data/21076/000162828017008700/ ; https://www.sec.gov/Archives/edgar/data/21076/000120677415001565/,30
Clorox,CLX,2014Q2,2014-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),4258000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/,,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/,30
Clorox,CLX,2014Q2,2014-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),4104000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/,,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/,30
Clorox,CLX,2014Q2,2014-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),154000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/,,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/,30
Clorox,CLX,2015Q2,2015-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),4164000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/,,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/,30
Clorox,CLX,2015Q2,2015-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),4046000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/,,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/,30
Clorox,CLX,2015Q2,2015-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),118000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/,,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/,30
Clorox,CLX,2016Q2,2016-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),4518000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677416006893/,,https://www.sec.gov/Archives/edgar/data/21076/000120677416007290/,30
Clorox,CLX,2016Q2,2016-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),4221000000,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677416006893/,,https://www.sec.gov/Archives/edgar/data/21076/000120677416007290/,30
Clorox,CLX,2016Q2,2016-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),297000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/21076/000120677416006893/,,https://www.sec.gov/Archives/edgar/data/21076/000120677416007290/,30
Clorox,CLX,2017Q2,2017-06-30,분기별 영업활동현금흐름,재분류(미반영),386000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21076/000162828017008700/ ; https://www.sec.gov/Archives/edgar/data/21076/000002107617000005/,383000000,https://www.sec.gov/Archives/edgar/data/21076/000002107619000012/ ; https://www.sec.gov/Archives/edgar/data/21076/000002107617000005/,30
Clorox,CLX,2017Q4,2017-12-31,분기별 영업활동현금흐름,재작성 반영,64000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21076/000002107618000004/ ; https://www.sec.gov/Archives/edgar/data/21076/000002107617000008/,66000000,https://www.sec.gov/Archives/edgar/data/21076/000002107619000004/ ; https://www.sec.gov/Archives/edgar/data/21076/000002107617000008/,30
Clorox,CLX,2018Q2,2018-06-30,분기별 영업활동현금흐름,재작성 반영,400000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21076/000002107618000011/ ; https://www.sec.gov/Archives/edgar/data/21076/000002107618000007/,398000000,https://www.sec.gov/Archives/edgar/data/21076/000002107618000011/ ; https://www.sec.gov/Archives/edgar/data/21076/000002107619000007/,30
