기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Clorox,CLX,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,,30
Clorox,CLX,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000021076: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000021076: OperatingIncomeLoss 태그 없음(영업이익 미공시),,30
Clorox,CLX,2010Q1,2010-03-31,분기별 당기순이익(지배),165000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,,30
Clorox,CLX,2010Q1,2010-03-31,분기별 영업활동현금흐름,197000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/ ; https://www.sec.gov/Archives/edgar/data/21076/000120677410000241/,누적 443000000 − 직전누적 246000000 (시작 2009-07-01),30
Clorox,CLX,2010Q1,2010-03-31,분기말 자산총계,4743000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,,30
Clorox,CLX,2010Q1,2010-03-31,분기말 부채총계,4563000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,,30
Clorox,CLX,2010Q1,2010-03-31,분기말 총자본(자기자본),180000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,"StockholdersEquity, MinorityInterest 태그 없음",30
Clorox,CLX,2010Q1,2010-03-31,분기말 지배지분 자본,180000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,,30
Clorox,CLX,2010Q1,2010-03-31,분기말 종가,64.14,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CLX?interval=1d&events=splits (2010-03-31),,30
Clorox,CLX,2010Q1,2010-03-31,분기말 상장주식수,140841235,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,dei:EntityCommonStockSharesOutstanding 클래스 합,30
Clorox,CLX,2010Q1,2010-03-31,분기말 시가총액,9033556813,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CLX?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,종가 64.14 × 주식수 140841235,30
Clorox,CLX,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/,,30
Clorox,CLX,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000021076: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000021076: OperatingIncomeLoss 태그 없음(영업이익 미공시),,30
Clorox,CLX,2010Q2,2010-06-30,분기별 당기순이익(지배),171000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/ ; https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,연간 603000000 − 9개월누적 432000000 (NetIncomeLoss),30
Clorox,CLX,2010Q2,2010-06-30,분기별 영업활동현금흐름,376000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/ ; https://www.sec.gov/Archives/edgar/data/21076/000120677410001178/,누적 819000000 − 직전누적 443000000 (시작 2009-07-01),30
Clorox,CLX,2010Q2,2010-06-30,분기말 자산총계,4548000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/21076/000120677411001954/,원 공시 4555000000 (https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/),30
Clorox,CLX,2010Q2,2010-06-30,분기말 부채총계,4465000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/21076/000120677411001954/,원 공시 4472000000 (https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/),30
Clorox,CLX,2010Q2,2010-06-30,분기말 총자본(자기자본),83000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/,,30
Clorox,CLX,2010Q2,2010-06-30,분기말 지배지분 자본,83000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/,,30
Clorox,CLX,2010Q2,2010-06-30,분기말 종가,62.16,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CLX?interval=1d&events=splits (2010-06-30),,30
Clorox,CLX,2010Q2,2010-06-30,분기말 상장주식수,138931910,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/,dei:EntityCommonStockSharesOutstanding 클래스 합,30
Clorox,CLX,2010Q2,2010-06-30,분기말 시가총액,8636007526,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CLX?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/,종가 62.16 × 주식수 138931910,30
Clorox,CLX,2010Q3,2010-09-30,분기별 매출액,1266000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/21076/000120677411002394/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-11-03 제출본의 비교기간에서 읽었다,30
Clorox,CLX,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000021076: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000021076: OperatingIncomeLoss 태그 없음(영업이익 미공시),,30
Clorox,CLX,2010Q3,2010-09-30,분기별 당기순이익(지배),216000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410002296/,,30
Clorox,CLX,2010Q3,2010-09-30,분기별 영업활동현금흐름,148000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21076/000120677410002296/,,30
