기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Cummins,CMI,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,15776000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617215000007/,15764000000,https://www.sec.gov/Archives/edgar/data/26172/000002617217000007/,8
Cummins,CMI,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,7683000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617215000007/,7671000000,https://www.sec.gov/Archives/edgar/data/26172/000002617216000033/,8
Cummins,CMI,2016Q1,2016-04-03,분기별 영업활동현금흐름,재작성 반영,263000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617216000039/,267000000,https://www.sec.gov/Archives/edgar/data/26172/000002617217000012/,8
Cummins,CMI,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,507000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/26172/000002617217000007/ ; https://www.sec.gov/Archives/edgar/data/26172/000002617216000059/,459000000,https://www.sec.gov/Archives/edgar/data/26172/000002617219000009/ ; https://www.sec.gov/Archives/edgar/data/26172/000002617216000059/,8
Cummins,CMI,2017Q2,2017-07-02,분기별 영업이익,재작성 반영,595000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617217000019/,586000000,https://www.sec.gov/Archives/edgar/data/26172/000002617218000039/,8
Cummins,CMI,2017Q3,2017-10-01,분기별 영업이익,재작성 반영,629000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617217000027/,622000000,https://www.sec.gov/Archives/edgar/data/26172/000002617218000045/,8
Cummins,CMI,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,595000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/26172/000002617218000011/ ; https://www.sec.gov/Archives/edgar/data/26172/000002617217000027/,586000000,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/ ; https://www.sec.gov/Archives/edgar/data/26172/000002617218000045/,8
Cummins,CMI,2019Q4,2019-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),19737000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,8
Cummins,CMI,2019Q4,2019-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),11272000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,8
Cummins,CMI,2019Q4,2019-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8465000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,8
Cummins,CMI,2019Q4,2019-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),7507000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,8
Cummins,CMI,2020Q4,2020-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),22624000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,8
Cummins,CMI,2020Q4,2020-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),13635000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,8
Cummins,CMI,2020Q4,2020-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8989000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,8
Cummins,CMI,2020Q4,2020-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),8062000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,8
Cummins,CMI,2021Q2,2021-07-04,분기말 자산총계,재작성 검증 실패(원 공시 유지),22608000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000043/,8
