기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
CMS Energy,CMS,2010Q2,2010-06-30,분기말 부채총계,재작성 반영,12058000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/811156/000095012310068962/,12110000000,https://www.sec.gov/Archives/edgar/data/811156/000095012310068962/,16
CMS Energy,CMS,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),17416000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/,,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/,16
CMS Energy,CMS,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),13925000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/,,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/,16
CMS Energy,CMS,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3491000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/,,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/,16
CMS Energy,CMS,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,485000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/ ; https://www.sec.gov/Archives/edgar/data/811156/000110465914073231/,519000000,https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/ ; https://www.sec.gov/Archives/edgar/data/811156/000110465914073231/,16
CMS Energy,CMS,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),19185000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/,,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/,16
CMS Energy,CMS,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),15478000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/,,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/,16
CMS Energy,CMS,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3707000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/,,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/,16
CMS Energy,CMS,2015Q4,2015-12-31,분기별 영업이익,재작성 반영,245000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/811156/000110465916095725/ ; https://www.sec.gov/Archives/edgar/data/811156/000110465915073939/,260000000,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/ ; https://www.sec.gov/Archives/edgar/data/811156/000110465915073939/,16
CMS Energy,CMS,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,20340000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465916095725/,20299000000,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/,16
CMS Energy,CMS,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,16365000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/811156/000110465916095725/,16324000000,https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/,16
CMS Energy,CMS,2016Q1,2016-03-31,분기별 영업이익,재작성 반영,336000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465916114973/,326000000,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/,16
CMS Energy,CMS,2016Q2,2016-06-30,분기별 영업이익,재작성 반영,285000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465916134878/,275000000,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/,16
CMS Energy,CMS,2016Q3,2016-09-30,분기별 영업이익,재작성 반영,386000000,공시,https://www.sec.gov/Archives/edgar/data/811156/000110465916152440/,375000000,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/,16
CMS Energy,CMS,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,290000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/ ; https://www.sec.gov/Archives/edgar/data/811156/000110465916152440/,280000000,https://www.sec.gov/Archives/edgar/data/811156/000081115619000003/ ; https://www.sec.gov/Archives/edgar/data/811156/000110465917063902/,16
CMS Energy,CMS,2019Q4,2019-12-31,분기별 매출액,재분류(미반영),1795000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/811156/000081115620000004/ ; https://www.sec.gov/Archives/edgar/data/811156/000081115619000015/,1574000000,https://www.sec.gov/Archives/edgar/data/811156/000081115622000048/ ; https://www.sec.gov/Archives/edgar/data/811156/000081115619000015/,16
