기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기별 매출액,3023000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기별 영업이익,357000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기별 당기순이익(지배),114000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기별 영업활동현금흐름,435000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기말 자산총계,19351000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기말 부채총계,16642000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,부채및자본 19351000000 − 총자본 2709000000,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기말 총자본(자기자본),2709000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,"StockholdersEquity, MinorityInterest 태그 없음",15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기말 지배지분 자본,2709000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기말 종가,14.36,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CNP?interval=1d&events=splits (2010-03-31),,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기말 상장주식수,394186137,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
CenterPoint Energy,CNP,2010Q1,2010-03-31,분기말 시가총액,5660512927,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CNP?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1130310/000113031010000021/,종가 14.36 × 주식수 394186137,15
CenterPoint Energy,CNP,2010Q2,2010-06-30,분기별 매출액,1756000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000036/,,15
CenterPoint Energy,CNP,2010Q2,2010-06-30,분기별 영업이익,263000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1130310/000113031010000036/,,15
