기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
ConocoPhillips,COP,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),51726000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/ ; https://www.sec.gov/Archives/edgar/data/1163165/000095012310099554/,-81500000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312513065426/ ; https://www.sec.gov/Archives/edgar/data/1163165/000095012310099554/,5
ConocoPhillips,COP,2010Q4,2010-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),156314000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311028850/,5
ConocoPhillips,COP,2010Q4,2010-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),87205000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311028850/,5
ConocoPhillips,COP,2010Q4,2010-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),69109000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311028850/,5
ConocoPhillips,COP,2010Q4,2010-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),68562000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311028850/,5
ConocoPhillips,COP,2011Q2,2011-06-30,분기별 매출액,재분류(미반영),65627000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,17176000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312512325680/,5
ConocoPhillips,COP,2011Q2,2011-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),160068000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,5
ConocoPhillips,COP,2011Q2,2011-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),89490000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,5
ConocoPhillips,COP,2011Q2,2011-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),70578000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,5
ConocoPhillips,COP,2011Q2,2011-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),70059000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311071563/,5
ConocoPhillips,COP,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),62784000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,16506000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312512441310/,5
ConocoPhillips,COP,2011Q3,2011-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),154689000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,5
ConocoPhillips,COP,2011Q3,2011-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),88363000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,5
ConocoPhillips,COP,2011Q3,2011-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),66326000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,5
ConocoPhillips,COP,2011Q3,2011-09-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),65806000000,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,,https://www.sec.gov/Archives/edgar/data/1163165/000095012311093993/,5
