기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
ConocoPhillips,COP,2010Q1,2010-03-31,분기별 매출액,44821000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0001163165: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0001163165: OperatingIncomeLoss 태그 없음(영업이익 미공시),,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기별 당기순이익(지배),2098000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기별 영업활동현금흐름,3040000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기말 자산총계,154810000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기말 부채총계,91393000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기말 총자본(자기자본),63417000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기말 지배지분 자본,62837000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기말 종가,51.17,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COP?interval=1d&events=splits (2010-03-31),분할조정 종가 39.0077 × 이후 분할계수 1.31179,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기말 상장주식수,1488318070,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
ConocoPhillips,COP,2010Q1,2010-03-31,분기말 시가총액,76157235642,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COP?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1163165/000095012310043643/,종가 51.17 × 주식수 1488318070,5
