기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Corpay,CPAY,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,2324492000,공시,https://www.sec.gov/Archives/edgar/data/1175454/000119312512089630/,2349169000,https://www.sec.gov/Archives/edgar/data/1175454/000119312513087935/,15
Corpay,CPAY,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,1513056000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1175454/000119312512089630/,1537733000,https://www.sec.gov/Archives/edgar/data/1175454/000119312513087935/,15
Corpay,CPAY,2013Q4,2013-12-31,분기말 부채총계,재작성 반영,2688342000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1175454/000119312514080429/,2708733000,https://www.sec.gov/Archives/edgar/data/1175454/000119312514080429/,15
Corpay,CPAY,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 반영,1243893000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1175454/000119312514080429/,1223502000,https://www.sec.gov/Archives/edgar/data/1175454/000117545417000005/,15
Corpay,CPAY,2013Q4,2013-12-31,분기말 지배지분 자본,재작성 반영,1243893000,공시,https://www.sec.gov/Archives/edgar/data/1175454/000119312514080429/,1223502000,https://www.sec.gov/Archives/edgar/data/1175454/000117545417000005/,15
Corpay,CPAY,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,8674506000,공시,https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/,8524701000,https://www.sec.gov/Archives/edgar/data/1175454/000119312516485752/,15
Corpay,CPAY,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,5921369000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/,5906139000,https://www.sec.gov/Archives/edgar/data/1175454/000119312516485752/,15
Corpay,CPAY,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 반영,2753137000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/,2618562000,https://www.sec.gov/Archives/edgar/data/1175454/000117545418000007/,15
Corpay,CPAY,2014Q4,2014-12-31,분기말 지배지분 자본,재작성 반영,2753137000,공시,https://www.sec.gov/Archives/edgar/data/1175454/000119312515073581/,2618562000,https://www.sec.gov/Archives/edgar/data/1175454/000117545418000007/,15
Corpay,CPAY,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,7891868000,공시,https://www.sec.gov/Archives/edgar/data/1175454/000119312516485752/,7889806000,https://www.sec.gov/Archives/edgar/data/1175454/000117545417000005/,15
