기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Salesforce,CRM,2014Q4,2015-01-31,분기별 영업활동현금흐름,재작성 반영,332223000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1108524/000110852415000008/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852414000023/,339953000,https://www.sec.gov/Archives/edgar/data/1108524/000110852417000006/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852414000023/,4
Salesforce,CRM,2014Q4,2015-01-31,분기말 자산총계,재작성 반영,10692982000,공시,https://www.sec.gov/Archives/edgar/data/1108524/000110852415000008/,10665127000,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000053/,4
Salesforce,CRM,2014Q4,2015-01-31,분기말 부채총계,재작성 반영,6717799000,공시,https://www.sec.gov/Archives/edgar/data/1108524/000110852415000008/,6689944000,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000053/,4
Salesforce,CRM,2015Q1,2015-04-30,분기별 영업활동현금흐름,재작성 반영,730857000,공시,https://www.sec.gov/Archives/edgar/data/1108524/000110852415000014/,735081000,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000066/,4
Salesforce,CRM,2015Q2,2015-07-31,분기별 영업활동현금흐름,재작성 반영,304411000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1108524/000110852415000025/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852415000014/,304278000,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000085/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852416000066/,4
Salesforce,CRM,2015Q3,2015-10-31,분기별 영업활동현금흐름,재작성 반영,117907000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1108524/000110852415000034/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852415000025/,162514000,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000128/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852416000085/,4
Salesforce,CRM,2015Q4,2016-01-31,분기별 영업활동현금흐름,재작성 반영,459410000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1108524/000110852416000053/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852415000034/,470208000,https://www.sec.gov/Archives/edgar/data/1108524/000110852418000011/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852416000128/,4
Salesforce,CRM,2015Q4,2016-01-31,분기말 자산총계,재작성 반영,12770772000,공시,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000053/,12762920000,https://www.sec.gov/Archives/edgar/data/1108524/000110852417000006/,4
Salesforce,CRM,2015Q4,2016-01-31,분기말 부채총계,재작성 반영,7767903000,공시,https://www.sec.gov/Archives/edgar/data/1108524/000110852416000053/,7760051000,https://www.sec.gov/Archives/edgar/data/1108524/000110852417000006/,4
Salesforce,CRM,2016Q4,2017-01-31,분기별 영업이익,재작성 반영,-23345000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1108524/000110852417000006/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852416000128/,130427000,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000009/ ; https://www.sec.gov/Archives/edgar/data/1108524/000110852416000128/,4
