기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Cisco,CSCO,2010Q1,2010-05-01,분기별 매출액,10368000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,,2
Cisco,CSCO,2010Q1,2010-05-01,분기별 영업이익,2345000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,,2
Cisco,CSCO,2010Q1,2010-05-01,분기별 당기순이익(지배),2192000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,,2
Cisco,CSCO,2010Q1,2010-05-01,분기별 영업활동현금흐름,2967000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/ ; https://www.sec.gov/Archives/edgar/data/858877/000119312510032740/,누적 6941000000 − 직전누적 3974000000 (시작 2009-07-26),2
Cisco,CSCO,2010Q1,2010-05-01,분기말 자산총계,79292000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,,2
Cisco,CSCO,2010Q1,2010-05-01,분기말 부채총계,35440000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,,2
Cisco,CSCO,2010Q1,2010-05-01,분기말 총자본(자기자본),43852000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,,2
Cisco,CSCO,2010Q1,2010-05-01,분기말 지배지분 자본,43830000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,,2
Cisco,CSCO,2010Q1,2010-04-30,분기말 종가,26.93,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CSCO?interval=1d&events=splits (2010-04-30),,2
Cisco,CSCO,2010Q1,2010-05-20,분기말 상장주식수,5711151107,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Cisco,CSCO,2010Q1,2010-04-30,분기말 시가총액,153801299312,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CSCO?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,종가 26.93 × 주식수 5711151107,2
Cisco,CSCO,2010Q2,2010-07-31,분기별 매출액,10836000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/ ; https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,연간 40040000000 − 9개월누적 29204000000 (SalesRevenueNet),2
Cisco,CSCO,2010Q2,2010-07-31,분기별 영업이익,2325000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/ ; https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,연간 9164000000 − 9개월누적 6839000000 (OperatingIncomeLoss),2
Cisco,CSCO,2010Q2,2010-07-31,분기별 당기순이익(지배),1935000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/ ; https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,연간 7767000000 − 9개월누적 5832000000 (NetIncomeLoss),2
Cisco,CSCO,2010Q2,2010-07-31,분기별 영업활동현금흐름,3232000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/ ; https://www.sec.gov/Archives/edgar/data/858877/000119312510128609/,누적 10173000000 − 직전누적 6941000000 (시작 2009-07-26),2
Cisco,CSCO,2010Q2,2010-07-31,분기말 자산총계,81130000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/,,2
Cisco,CSCO,2010Q2,2010-07-31,분기말 부채총계,36845000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/,,2
Cisco,CSCO,2010Q2,2010-07-31,분기말 총자본(자기자본),44285000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/,,2
Cisco,CSCO,2010Q2,2010-07-31,분기말 지배지분 자본,44267000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/,,2
Cisco,CSCO,2010Q2,2010-07-30,분기말 종가,23.07,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CSCO?interval=1d&events=splits (2010-07-30),,2
Cisco,CSCO,2010Q2,2010-09-15,분기말 상장주식수,5585268740,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Cisco,CSCO,2010Q2,2010-07-30,분기말 시가총액,128852149832,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CSCO?interval=1d&events=splits (2010-07-30) ; https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/,종가 23.07 × 주식수 5585268740,2
Cisco,CSCO,2010Q3,2010-10-30,분기별 매출액,10750000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-30,분기별 영업이익,2351000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-30,분기별 당기순이익(지배),1930000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-30,분기별 영업활동현금흐름,1667000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-30,분기말 자산총계,80015000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-30,분기말 부채총계,35320000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-30,분기말 총자본(자기자본),44695000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-30,분기말 지배지분 자본,44675000000,USD,공시,https://www.sec.gov/Archives/edgar/data/858877/000119312510266844/,,2
Cisco,CSCO,2010Q3,2010-10-29,분기말 종가,22.86,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CSCO?interval=1d&events=splits (2010-10-29),,2
