기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
CoStar,CSGP,2011Q4,2011-12-31,분기별 영업활동현금흐름,재분류(미반영),5978000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1057352/000105735212000024/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735211000139/,8078000,https://www.sec.gov/Archives/edgar/data/1057352/000105735214000006/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735211000139/,28
CoStar,CSGP,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,2083682000,공시,https://www.sec.gov/Archives/edgar/data/1057352/000105735215000012/,2070483000,https://www.sec.gov/Archives/edgar/data/1057352/000105735216000103/,28
CoStar,CSGP,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,570136000,공시,https://www.sec.gov/Archives/edgar/data/1057352/000105735215000012/,556937000,https://www.sec.gov/Archives/edgar/data/1057352/000105735216000103/,28
CoStar,CSGP,2015Q4,2015-12-31,분기별 영업활동현금흐름,재분류(미반영),61529000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1057352/000105735216000103/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735215000082/,70057000,https://www.sec.gov/Archives/edgar/data/1057352/000105735218000011/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735215000082/,28
CoStar,CSGP,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,47926000,공시,https://www.sec.gov/Archives/edgar/data/1057352/000105735216000128/,48356000,https://www.sec.gov/Archives/edgar/data/1057352/000105735217000027/,28
CoStar,CSGP,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,34438000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1057352/000105735216000143/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735216000128/,38338000,https://www.sec.gov/Archives/edgar/data/1057352/000105735217000045/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735217000027/,28
CoStar,CSGP,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,61368000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1057352/000105735216000165/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735216000143/,61766000,https://www.sec.gov/Archives/edgar/data/1057352/000105735217000075/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735217000045/,28
CoStar,CSGP,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,52212000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1057352/000105735217000008/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735216000165/,47484000,https://www.sec.gov/Archives/edgar/data/1057352/000105735217000008/ ; https://www.sec.gov/Archives/edgar/data/1057352/000105735217000075/,28
CoStar,CSGP,2019Q3,2019-09-30,분기별 당기순이익(지배),재작성 반영,78619000,공시,https://www.sec.gov/Archives/edgar/data/1057352/000105735219000094/,72793000,https://www.sec.gov/Archives/edgar/data/1057352/000105735221000067/,28
CoStar,CSGP,2020Q3,2020-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),6797325000,공시,https://www.sec.gov/Archives/edgar/data/1057352/000105735220000126/,,https://www.sec.gov/Archives/edgar/data/1057352/000105735220000126/,28
