기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
CSX,CSX,2010Q1,2010-03-26,분기별 매출액,2491000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/,,7
CSX,CSX,2010Q1,2010-03-26,분기별 영업이익,632000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/277948/000027794811000017/,원 공시 634000000 (https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/),7
CSX,CSX,2010Q1,2010-03-26,분기별 당기순이익(지배),305000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/277948/000027794811000017/,원 공시 306000000 (https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/),7
CSX,CSX,2010Q1,2010-03-26,분기별 영업활동현금흐름,744000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/277948/000027794811000017/,원 공시 747000000 (https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/),7
CSX,CSX,2010Q1,2010-03-26,분기말 자산총계,27193000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/,,7
CSX,CSX,2010Q1,2010-03-26,분기말 부채총계,18308000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/,,7
CSX,CSX,2010Q1,2010-03-26,분기말 총자본(자기자본),8885000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/,,7
CSX,CSX,2010Q1,2010-03-26,분기말 지배지분 자본,8870000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/,총자본 8885000000 − 비지배 15000000,7
CSX,CSX,2010Q1,2010-03-26,분기말 종가,50.99,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CSX?interval=1d&events=splits (2010-03-26),분할조정 종가 5.6656 × 이후 분할계수 9,7
CSX,CSX,2010Q1,2010-03-26,분기말 상장주식수,389225965,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
CSX,CSX,2010Q1,2010-03-26,분기말 시가총액,19846631955,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CSX?interval=1d&events=splits (2010-03-26) ; https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/,종가 50.99 × 주식수 389225965,7
CSX,CSX,2010Q2,2010-06-25,분기별 매출액,2663000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,,7
CSX,CSX,2010Q2,2010-06-25,분기별 영업이익,768000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,,7
CSX,CSX,2010Q2,2010-06-25,분기별 당기순이익(지배),414000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,,7
CSX,CSX,2010Q2,2010-06-25,분기별 영업활동현금흐름,678000000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/ ; https://www.sec.gov/Archives/edgar/data/277948/000027794811000017/,누적 1422000000 − 직전누적 744000000 (시작 2009-12-26) ; 원 공시 675000000 (https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/ ; https://www.sec.gov/Archives/edgar/data/277948/000027794810000025/),7
CSX,CSX,2010Q2,2010-06-25,분기말 자산총계,26744000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,,7
CSX,CSX,2010Q2,2010-06-25,분기말 부채총계,18167000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,,7
CSX,CSX,2010Q2,2010-06-25,분기말 총자본(자기자본),8577000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,,7
CSX,CSX,2010Q2,2010-06-25,분기말 지배지분 자본,8561000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,총자본 8577000000 − 비지배 16000000,7
CSX,CSX,2010Q2,2010-06-25,분기말 종가,52.25,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CSX?interval=1d&events=splits (2010-06-25),분할조정 종가 5.8056 × 이후 분할계수 9,7
CSX,CSX,2010Q2,2010-06-25,분기말 상장주식수,379647450,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
CSX,CSX,2010Q2,2010-06-25,분기말 시가총액,19836579262,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CSX?interval=1d&events=splits (2010-06-25) ; https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,종가 52.25 × 주식수 379647450,7
CSX,CSX,2010Q3,2010-09-24,분기별 매출액,2666000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/,,7
CSX,CSX,2010Q3,2010-09-24,분기별 영업이익,825000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/,,7
CSX,CSX,2010Q3,2010-09-24,분기별 당기순이익(지배),414000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/,,7
CSX,CSX,2010Q3,2010-09-24,분기별 영업활동현금흐름,855000000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/277948/000027794811000061/ ; https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/,누적 2277000000 − 직전누적 1422000000 (시작 2009-12-26) ; 원 공시 844000000 (https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/ ; https://www.sec.gov/Archives/edgar/data/277948/000027794810000046/),7
CSX,CSX,2010Q3,2010-09-24,분기말 자산총계,27029000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/,,7
CSX,CSX,2010Q3,2010-09-24,분기말 부채총계,18391000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/,,7
CSX,CSX,2010Q3,2010-09-24,분기말 총자본(자기자본),8638000000,USD,공시,https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/,,7
CSX,CSX,2010Q3,2010-09-24,분기말 지배지분 자본,8625000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/277948/000027794810000059/,총자본 8638000000 − 비지배 13000000,7
CSX,CSX,2010Q3,2010-09-24,분기말 종가,56.14,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CSX?interval=1d&events=splits (2010-09-24),분할조정 종가 6.2378 × 이후 분할계수 9,7
