기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Cintas,CTAS,2012Q2,2012-05-31,분기말 자산총계,재작성 반영,4160906000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325412000004/,4165706000,https://www.sec.gov/Archives/edgar/data/723254/000072325414000020/,8
Cintas,CTAS,2012Q2,2012-05-31,분기말 부채총계,재작성 반영,2021771000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/723254/000072325412000004/,2026571000,https://www.sec.gov/Archives/edgar/data/723254/000072325413000011/,8
Cintas,CTAS,2012Q3,2012-08-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),4152235000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325412000009/,,https://www.sec.gov/Archives/edgar/data/723254/000072325412000009/,8
Cintas,CTAS,2012Q3,2012-08-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1997820000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/723254/000072325412000009/,,https://www.sec.gov/Archives/edgar/data/723254/000072325412000009/,8
Cintas,CTAS,2012Q3,2012-08-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),2154415000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/723254/000072325412000009/,,https://www.sec.gov/Archives/edgar/data/723254/000072325412000009/,8
Cintas,CTAS,2012Q4,2012-11-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),4217882000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325413000002/,,https://www.sec.gov/Archives/edgar/data/723254/000072325413000002/,8
Cintas,CTAS,2012Q4,2012-11-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),2137238000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/723254/000072325413000002/,,https://www.sec.gov/Archives/edgar/data/723254/000072325413000002/,8
Cintas,CTAS,2012Q4,2012-11-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),2080644000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/723254/000072325413000002/,,https://www.sec.gov/Archives/edgar/data/723254/000072325413000002/,8
Cintas,CTAS,2013Q1,2013-02-28,분기말 자산총계,재작성 검증 실패(원 공시 유지),4221299000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,,https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,8
Cintas,CTAS,2013Q1,2013-02-28,분기말 부채총계,재작성 검증 실패(원 공시 유지),2091053000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,,https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,8
Cintas,CTAS,2013Q1,2013-02-28,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),2130246000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,,https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,8
Cintas,CTAS,2013Q2,2013-05-31,분기별 매출액,재분류(미반영),1129086000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/723254/000072325413000011/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,1058579000,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,8
Cintas,CTAS,2013Q2,2013-05-31,분기별 영업이익,재분류(미반영),153871000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/723254/000072325413000011/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,154638000,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325413000006/,8
Cintas,CTAS,2013Q3,2013-08-31,분기별 매출액,재분류(미반영),1120343000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325413000019/,1100246000,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/,8
Cintas,CTAS,2013Q3,2013-08-31,분기별 영업이익,재분류(미반영),140070000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325413000019/,139612000,https://www.sec.gov/Archives/edgar/data/723254/000072325414000033/,8
Cintas,CTAS,2013Q4,2013-11-30,분기별 매출액,재분류(미반영),1143753000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325414000002/,1123931000,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/,8
Cintas,CTAS,2013Q4,2013-11-30,분기별 영업이익,재분류(미반영),152972000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325414000002/,152211000,https://www.sec.gov/Archives/edgar/data/723254/000072325415000002/,8
Cintas,CTAS,2014Q1,2014-02-28,분기별 매출액,재분류(미반영),1130237000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325414000006/,1110973000,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/,8
Cintas,CTAS,2014Q1,2014-02-28,분기별 영업이익,재분류(미반영),150162000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325414000006/,149603000,https://www.sec.gov/Archives/edgar/data/723254/000072325415000006/,8
Cintas,CTAS,2014Q2,2014-05-31,분기별 매출액,재분류(미반영),1157479000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/723254/000072325414000020/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325414000006/,858694000,https://www.sec.gov/Archives/edgar/data/723254/000072325416000050/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325415000006/,8
Cintas,CTAS,2014Q2,2014-05-31,분기별 영업이익,재분류(미반영),123806000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/723254/000072325414000020/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325414000006/,161294000,https://www.sec.gov/Archives/edgar/data/723254/000072325416000050/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325415000006/,8
