기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Cognizant,CTSH,2010Q1,2010-03-31,분기별 매출액,959720000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,,14
Cognizant,CTSH,2010Q1,2010-03-31,분기별 영업이익,183017000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,,14
Cognizant,CTSH,2010Q1,2010-03-31,분기별 당기순이익(지배),151500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,,14
Cognizant,CTSH,2010Q1,2010-03-31,분기별 영업활동현금흐름,2328000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,,14
Cognizant,CTSH,2010Q1,2010-03-31,분기말 자산총계,3509747000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,,14
Cognizant,CTSH,2010Q1,2010-03-31,분기말 부채총계,623378000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,,14
Cognizant,CTSH,2010Q1,2010-03-31,분기말 총자본(자기자본),2886369000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,"StockholdersEquity, MinorityInterest 태그 없음",14
Cognizant,CTSH,2010Q1,2010-03-31,분기말 지배지분 자본,2886369000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,,14
Cognizant,CTSH,2010Q1,2010-03-31,분기말 종가,50.98,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CTSH?interval=1d&events=splits (2010-03-31),분할조정 종가 25.49 × 이후 분할계수 2,14
Cognizant,CTSH,2010Q1,2010-04-30,분기말 상장주식수,299418969,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,dei:EntityCommonStockSharesOutstanding 클래스 합,14
Cognizant,CTSH,2010Q1,2010-03-31,분기말 시가총액,15264379040,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CTSH?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,종가 50.98 × 주식수 299418969,14
Cognizant,CTSH,2010Q2,2010-06-30,분기별 매출액,1105154000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,,14
Cognizant,CTSH,2010Q2,2010-06-30,분기별 영업이익,205915000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,,14
Cognizant,CTSH,2010Q2,2010-06-30,분기별 당기순이익(지배),172175000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,,14
Cognizant,CTSH,2010Q2,2010-06-30,분기별 영업활동현금흐름,135294000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/ ; https://www.sec.gov/Archives/edgar/data/1058290/000119312510112855/,누적 137622000 − 직전누적 2328000 (시작 2010-01-01),14
Cognizant,CTSH,2010Q2,2010-06-30,분기말 자산총계,3764154000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,,14
Cognizant,CTSH,2010Q2,2010-06-30,분기말 부채총계,723267000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,,14
Cognizant,CTSH,2010Q2,2010-06-30,분기말 총자본(자기자본),3040887000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,"StockholdersEquity, MinorityInterest 태그 없음",14
Cognizant,CTSH,2010Q2,2010-06-30,분기말 지배지분 자본,3040887000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,,14
Cognizant,CTSH,2010Q2,2010-06-30,분기말 종가,50.06,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CTSH?interval=1d&events=splits (2010-06-30),분할조정 종가 25.03 × 이후 분할계수 2,14
Cognizant,CTSH,2010Q2,2010-07-30,분기말 상장주식수,300891248,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,dei:EntityCommonStockSharesOutstanding 클래스 합,14
Cognizant,CTSH,2010Q2,2010-06-30,분기말 시가총액,15062615875,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CTSH?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,종가 50.06 × 주식수 300891248,14
Cognizant,CTSH,2010Q3,2010-09-30,분기별 매출액,1216913000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,,14
Cognizant,CTSH,2010Q3,2010-09-30,분기별 영업이익,228299000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,,14
Cognizant,CTSH,2010Q3,2010-09-30,분기별 당기순이익(지배),203699000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,,14
Cognizant,CTSH,2010Q3,2010-09-30,분기별 영업활동현금흐름,234738000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/ ; https://www.sec.gov/Archives/edgar/data/1058290/000119312510181401/,누적 372360000 − 직전누적 137622000 (시작 2010-01-01),14
Cognizant,CTSH,2010Q3,2010-09-30,분기말 자산총계,4246279000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,,14
Cognizant,CTSH,2010Q3,2010-09-30,분기말 부채총계,879095000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,,14
Cognizant,CTSH,2010Q3,2010-09-30,분기말 총자본(자기자본),3367184000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,"StockholdersEquity, MinorityInterest 태그 없음",14
Cognizant,CTSH,2010Q3,2010-09-30,분기말 지배지분 자본,3367184000,USD,공시,https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,,14
Cognizant,CTSH,2010Q3,2010-09-30,분기말 종가,64.47,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CTSH?interval=1d&events=splits (2010-09-30),분할조정 종가 32.235 × 이후 분할계수 2,14
Cognizant,CTSH,2010Q3,2010-10-29,분기말 상장주식수,303482436,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1058290/000119312510246295/,dei:EntityCommonStockSharesOutstanding 클래스 합,14
