기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Corteva,CTVA,2019Q1,2019-03-31,분기별 매출액,재분류(미반영),6288000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,3396000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567221000008/,10
Corteva,CTVA,2019Q1,2019-03-31,분기별 당기순이익(지배),재분류(미반영),85000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,164000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567221000008/,10
Corteva,CTVA,2019Q1,2019-03-31,분기별 영업활동현금흐름,재분류(미반영),-1422000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,-1541000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000014/,10
Corteva,CTVA,2019Q1,2019-03-31,분기말 자산총계,재작성 반영,101837000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,110102000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000014/,10
Corteva,CTVA,2019Q1,2019-03-31,분기말 부채총계,재작성 반영,32002000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,35028000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000014/,10
Corteva,CTVA,2019Q1,2019-03-31,분기말 총자본(자기자본),재작성 반영,69835000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,75074000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000026/,10
Corteva,CTVA,2019Q1,2019-03-31,분기말 지배지분 자본,재작성 반영,69600000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,74571000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000014/,10
Corteva,CTVA,2019Q2,2019-06-30,분기별 영업활동현금흐름,재분류(미반영),334000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1755672/000175567219000014/ ; https://www.sec.gov/Archives/edgar/data/1755672/000175567219000004/,453000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000014/ ; https://www.sec.gov/Archives/edgar/data/1755672/000175567220000014/,10
Corteva,CTVA,2019Q2,2019-06-30,분기말 자산총계,재작성 반영,43998000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000014/,43922000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000021/,10
Corteva,CTVA,2019Q2,2019-06-30,분기말 총자본(자기자본),재작성 반영,26143000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000014/,26067000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000026/,10
Corteva,CTVA,2019Q2,2019-06-30,분기말 지배지분 자본,재작성 반영,25886000000,공시,https://www.sec.gov/Archives/edgar/data/1755672/000175567219000014/,25810000000,https://www.sec.gov/Archives/edgar/data/1755672/000175567220000021/,10
