기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
CVS Health,CVS,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),23760000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,23593000000,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),1410000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,1404000000,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),24007000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510169312/,23885000000,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),1501000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510169312/,1494000000,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),23875000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510246290/,23711000000,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),1484000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510246290/,1478000000,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),24772000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000119312511040351/ ; https://www.sec.gov/Archives/edgar/data/64803/000119312510246290/,24589000000,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,6
CVS Health,CVS,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),1771000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000119312511040351/ ; https://www.sec.gov/Archives/edgar/data/64803/000119312510246290/,1761000000,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,6
CVS Health,CVS,2011Q1,2011-03-31,분기별 매출액,재분류(미반영),25880000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465911026342/,25695000000,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/,6
CVS Health,CVS,2011Q1,2011-03-31,분기별 영업이익,재분류(미반영),1311000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465911026342/,1305000000,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/,6
CVS Health,CVS,2011Q2,2011-06-30,분기별 매출액,재분류(미반영),26629000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465911043697/,26414000000,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/,6
CVS Health,CVS,2011Q2,2011-06-30,분기별 영업이익,재분류(미반영),1490000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465911043697/,1484000000,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/,6
CVS Health,CVS,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),28317000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,28297000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,6
CVS Health,CVS,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),1957000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,1958000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,6
CVS Health,CVS,2011Q4,2011-12-31,분기별 당기순이익(지배),재분류(미반영),1064000000,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,1065000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465911060566/,6
CVS Health,CVS,2011Q4,2011-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),64543000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2011Q4,2011-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),26492000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),38051000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,,https://www.sec.gov/Archives/edgar/data/64803/000110465912010850/,6
CVS Health,CVS,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),30798000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912031650/,30792000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),1404000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912031650/,1397000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q1,2012-03-31,분기별 당기순이익(지배),재분류(미반영),776000000,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/64803/000110465912031650/,772000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q2,2012-06-30,분기별 매출액,재분류(미반영),30714000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912055261/,30694000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q2,2012-06-30,분기별 영업이익,재분류(미반영),1708000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912055261/,1702000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q2,2012-06-30,분기별 당기순이익(지배),재분류(미반영),966000000,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/64803/000110465912055261/,962000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q3,2012-09-30,분기별 매출액,재분류(미반영),30227000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,30237000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q3,2012-09-30,분기별 영업이익,재분류(미반영),1814000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,1812000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q3,2012-09-30,분기별 당기순이익(지배),재분류(미반영),1006000000,공시(보통주 귀속),https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,1005000000,https://www.sec.gov/Archives/edgar/data/64803/000006480314000008/,6
CVS Health,CVS,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),31394000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,31381000000,https://www.sec.gov/Archives/edgar/data/64803/000006480315000008/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,6
CVS Health,CVS,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),2303000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,2285000000,https://www.sec.gov/Archives/edgar/data/64803/000006480315000008/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,6
CVS Health,CVS,2012Q4,2012-12-31,분기별 당기순이익(지배),재분류(미반영),1129000000,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,1116000000,https://www.sec.gov/Archives/edgar/data/64803/000006480315000008/ ; https://www.sec.gov/Archives/edgar/data/64803/000110465912074770/,6
CVS Health,CVS,2012Q4,2012-12-31,분기말 자산총계,재작성 반영,65912000000,공시,https://www.sec.gov/Archives/edgar/data/64803/000110465913011354/,66221000000,https://www.sec.gov/Archives/edgar/data/64803/000006480315000008/,6
