기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
CVS Health,CVS,2010Q1,2010-03-31,분기별 매출액,23760000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,,6
CVS Health,CVS,2010Q1,2010-03-31,분기별 영업이익,1410000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,,6
CVS Health,CVS,2010Q1,2010-03-31,분기별 당기순이익(지배),771000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,,6
CVS Health,CVS,2010Q1,2010-03-31,분기별 영업활동현금흐름,1060000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,,6
CVS Health,CVS,2010Q1,2010-03-31,분기말 자산총계,61284000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,,6
CVS Health,CVS,2010Q1,2010-03-31,분기말 부채총계,25590000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,부채및자본 61284000000 − 총자본 35694000000,6
CVS Health,CVS,2010Q1,2010-03-31,분기말 총자본(자기자본),35694000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,"StockholdersEquity, MinorityInterest 태그 없음",6
CVS Health,CVS,2010Q1,2010-03-31,분기말 지배지분 자본,35694000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,,6
CVS Health,CVS,2010Q1,2010-03-31,분기말 종가,36.56,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CVS?interval=1d&events=splits (2010-03-31),,6
CVS Health,CVS,2010Q1,2010-04-27,분기말 상장주식수,1360884000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
CVS Health,CVS,2010Q1,2010-03-31,분기말 시가총액,49753919040,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CVS?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/64803/000119312510106601/,종가 36.56 × 주식수 1360884000,6
CVS Health,CVS,2010Q2,2010-06-30,분기별 매출액,24007000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510169312/,,6
CVS Health,CVS,2010Q2,2010-06-30,분기별 영업이익,1501000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64803/000119312510169312/,,6
