기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Chevron,CVX,2010Q1,2010-03-31,분기별 매출액,48179000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,,3
Chevron,CVX,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000093410: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000093410: OperatingIncomeLoss 태그 없음(영업이익 미공시),,3
Chevron,CVX,2010Q1,2010-03-31,분기별 당기순이익(지배),4552000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,,3
Chevron,CVX,2010Q1,2010-03-31,분기별 영업활동현금흐름,7517000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,,3
Chevron,CVX,2010Q1,2010-03-31,분기말 자산총계,168932000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,,3
Chevron,CVX,2010Q1,2010-03-31,분기말 부채총계,72880000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,,3
Chevron,CVX,2010Q1,2010-03-31,분기말 총자본(자기자본),96052000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,,3
Chevron,CVX,2010Q1,2010-03-31,분기말 지배지분 자본,95349000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,,3
Chevron,CVX,2010Q1,2010-03-31,분기말 종가,75.83,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CVX?interval=1d&events=splits (2010-03-31),,3
Chevron,CVX,2010Q1,2010-03-31,분기말 상장주식수,2008642168,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Chevron,CVX,2010Q1,2010-03-31,분기말 시가총액,152315335599,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CVX?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,종가 75.83 × 주식수 2008642168,3
Chevron,CVX,2010Q2,2010-06-30,분기별 매출액,53004000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310073101/,,3
Chevron,CVX,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000093410: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000093410: OperatingIncomeLoss 태그 없음(영업이익 미공시),,3
Chevron,CVX,2010Q2,2010-06-30,분기별 당기순이익(지배),5409000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310073101/,,3
Chevron,CVX,2010Q2,2010-06-30,분기별 영업활동현금흐름,7603000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/93410/000095012310073101/ ; https://www.sec.gov/Archives/edgar/data/93410/000095012310044204/,누적 15120000000 − 직전누적 7517000000 (시작 2010-01-01),3
Chevron,CVX,2010Q2,2010-06-30,분기말 자산총계,171746000000,USD,공시,https://www.sec.gov/Archives/edgar/data/93410/000095012310073101/,,3
