기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
DuPont,DD,2017Q4,2017-12-31,분기별 당기순이익(지배),재분류(미반영),-1263000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/ ; https://www.sec.gov/Archives/edgar/data/1666700/000166670017000026/,-1564000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/ ; https://www.sec.gov/Archives/edgar/data/1666700/000166670017000026/,21
DuPont,DD,2017Q4,2017-12-31,분기별 영업활동현금흐름,재분류(미반영),4226000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/ ; https://www.sec.gov/Archives/edgar/data/1666700/000166670017000026/,1757000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/ ; https://www.sec.gov/Archives/edgar/data/1666700/000166670018000060/,21
DuPont,DD,2017Q4,2017-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),192164000000,공시,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,21
DuPont,DD,2017Q4,2017-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),90237000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,21
DuPont,DD,2017Q4,2017-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),101927000000,공시,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,21
DuPont,DD,2017Q4,2017-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),100330000000,공시,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/,21
DuPont,DD,2018Q1,2018-03-31,분기별 당기순이익(지배),재분류(미반영),1104000000,공시,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/,1093000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/,21
DuPont,DD,2018Q1,2018-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),102924000000,공시,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/,,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/,21
DuPont,DD,2018Q1,2018-03-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),101260000000,공시,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/,,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/,21
DuPont,DD,2018Q2,2018-06-30,분기별 당기순이익(지배),재분류(미반영),1768000000,공시,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000041/,1769000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/,21
