기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Deere,DE,2010Q1,2010-04-30,분기별 매출액,7130900000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,,4
Deere,DE,2010Q1,2010-04-30,분기별 영업이익,1098000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/315189/000110465911031895/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-27 제출본의 비교기간에서 읽었다,4
Deere,DE,2010Q1,2010-04-30,분기별 당기순이익(지배),547500000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,,4
Deere,DE,2010Q1,2010-04-30,분기별 영업활동현금흐름,734900000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/ ; https://www.sec.gov/Archives/edgar/data/315189/000110465910010697/,누적 416600000 − 직전누적 -318300000 (시작 2009-11-01),4
Deere,DE,2010Q1,2010-04-30,분기말 자산총계,41014100000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,,4
Deere,DE,2010Q1,2010-04-30,분기말 부채총계,35354700000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,,4
Deere,DE,2010Q1,2010-04-30,분기말 총자본(자기자본),5659400000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,,4
Deere,DE,2010Q1,2010-04-30,분기말 지배지분 자본,5650900000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,,4
Deere,DE,2010Q1,2010-04-30,분기말 종가,59.82,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DE?interval=1d&events=splits (2010-04-30),,4
Deere,DE,2010Q1,2010-04-30,분기말 상장주식수,424837898,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
Deere,DE,2010Q1,2010-04-30,분기말 시가총액,25413803058,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/DE?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,종가 59.82 × 주식수 424837898,4
Deere,DE,2010Q2,2010-07-31,분기별 매출액,6836900000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910046204/,,4
Deere,DE,2010Q2,2010-07-31,분기별 영업이익,1038000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/315189/000110465911049960/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-09-01 제출본의 비교기간에서 읽었다,4
Deere,DE,2010Q2,2010-07-31,분기별 당기순이익(지배),617000000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910046204/,,4
Deere,DE,2010Q2,2010-07-31,분기별 영업활동현금흐름,671500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/315189/000110465910046204/ ; https://www.sec.gov/Archives/edgar/data/315189/000110465910031404/,누적 1088100000 − 직전누적 416600000 (시작 2009-11-01),4
Deere,DE,2010Q2,2010-07-31,분기말 자산총계,41810300000,USD,공시,https://www.sec.gov/Archives/edgar/data/315189/000110465910046204/,,4
