기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Dell Technologies,DELL,2016Q1,2016-04-29,분기별 매출액,재분류(미반영),12534000000,공시,https://www.sec.gov/Archives/edgar/data/1571996/000157199616000008/,12241000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199618000004/,3
Dell Technologies,DELL,2016Q1,2016-04-29,분기별 영업이익,재분류(미반영),-161000000,공시,https://www.sec.gov/Archives/edgar/data/1571996/000157199616000008/,-139000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000009/,3
Dell Technologies,DELL,2016Q2,2016-07-29,분기별 매출액,재분류(미반영),13050000000,공시,https://www.sec.gov/Archives/edgar/data/1571996/000157199616000015/,13080000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199618000004/,3
Dell Technologies,DELL,2016Q2,2016-07-29,분기별 영업이익,재분류(미반영),63000000,공시,https://www.sec.gov/Archives/edgar/data/1571996/000157199616000015/,67000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000020/,3
Dell Technologies,DELL,2016Q3,2016-10-28,분기별 영업활동현금흐름,재분류(미반영),-269000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1571996/000157199616000021/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199616000015/,-246000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000045/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199616000015/,3
Dell Technologies,DELL,2016Q4,2017-02-03,분기별 영업이익,재분류(미반영),-1668000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199616000021/,-806000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199616000021/,3
Dell Technologies,DELL,2016Q4,2017-02-03,분기별 당기순이익(지배),재분류(미반영),-236000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199616000021/,269000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199616000021/,3
Dell Technologies,DELL,2016Q4,2017-02-03,분기별 영업활동현금흐름,재분류(미반영),676000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199616000021/,798000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/ ; https://www.sec.gov/Archives/edgar/data/1571996/000157199617000045/,3
Dell Technologies,DELL,2016Q4,2017-02-03,분기말 자산총계,재작성 검증 실패(원 공시 유지),118206000000,공시,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/,,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/,3
Dell Technologies,DELL,2016Q4,2017-02-03,분기말 부채총계,재작성 검증 실패(원 공시 유지),98966000000,공시,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/,,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/,3
Dell Technologies,DELL,2016Q4,2017-02-03,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),19009000000,공시,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/,,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/,3
