기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Dollar General,DG,2011Q4,2012-02-03,분기말 부채총계,재작성 반영,5020025000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/29534/000104746912003084/,5013938000,https://www.sec.gov/Archives/edgar/data/29534/000104746912003084/,14
Dollar General,DG,2011Q4,2012-02-03,분기말 총자본(자기자본),재작성 반영,4668495000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/29534/000104746912003084/,4674582000,https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/,14
Dollar General,DG,2011Q4,2012-02-03,분기말 지배지분 자본,재작성 반영,4668495000,공시,https://www.sec.gov/Archives/edgar/data/29534/000104746912003084/,4674582000,https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/,14
Dollar General,DG,2014Q4,2015-01-30,분기별 영업활동현금흐름,재작성 반영,474197000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/ ; https://www.sec.gov/Archives/edgar/data/29534/000110465914084786/,486344000,https://www.sec.gov/Archives/edgar/data/29534/000155837017002116/ ; https://www.sec.gov/Archives/edgar/data/29534/000110465914084786/,14
Dollar General,DG,2014Q4,2015-01-30,분기말 자산총계,재작성 반영,11224104000,공시,https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/,11208642000,https://www.sec.gov/Archives/edgar/data/29534/000104746916011420/,14
Dollar General,DG,2014Q4,2015-01-30,분기말 부채총계,재작성 반영,5514066000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/,5498604000,https://www.sec.gov/Archives/edgar/data/29534/000104746916011420/,14
Dollar General,DG,2015Q1,2015-05-01,분기별 영업활동현금흐름,재작성 반영,343893000,공시,https://www.sec.gov/Archives/edgar/data/29534/000110465915042757/,370210000,https://www.sec.gov/Archives/edgar/data/29534/000110465916123482/,14
Dollar General,DG,2015Q2,2015-07-31,분기별 영업활동현금흐름,재작성 반영,213159000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/29534/000110465915062037/ ; https://www.sec.gov/Archives/edgar/data/29534/000110465915042757/,214771000,https://www.sec.gov/Archives/edgar/data/29534/000110465916141285/ ; https://www.sec.gov/Archives/edgar/data/29534/000110465916123482/,14
Dollar General,DG,2015Q3,2015-10-30,분기별 영업활동현금흐름,재작성 반영,223491000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/29534/000110465915082600/ ; https://www.sec.gov/Archives/edgar/data/29534/000110465915062037/,224131000,https://www.sec.gov/Archives/edgar/data/29534/000155837016010321/ ; https://www.sec.gov/Archives/edgar/data/29534/000110465916141285/,14
Dollar General,DG,2015Q4,2016-01-29,분기별 영업활동현금흐름,재작성 반영,597445000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/29534/000104746916011420/ ; https://www.sec.gov/Archives/edgar/data/29534/000110465915082600/,582574000,https://www.sec.gov/Archives/edgar/data/29534/000155837017002116/ ; https://www.sec.gov/Archives/edgar/data/29534/000155837016010321/,14
