기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Dollar General,DG,2010Q1,2010-04-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000022/,,14
Dollar General,DG,2010Q1,2010-04-30,분기별 영업이익,290723000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/29534/000110465911032523/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-06-01 제출본의 비교기간에서 읽었다,14
Dollar General,DG,2010Q1,2010-04-30,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000022/,,14
Dollar General,DG,2010Q1,2010-04-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000022/,,14
Dollar General,DG,2010Q1,2010-04-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000022/,,14
Dollar General,DG,2010Q1,2010-04-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000022/,,14
Dollar General,DG,2010Q1,2010-04-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000022/,,14
Dollar General,DG,2010Q1,2010-04-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000022/,,14
Dollar General,DG,2010Q1,2010-04-30,분기말 종가,28.57,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DG?interval=1d&events=splits (2010-04-30),,14
Dollar General,DG,2010Q1,2010-04-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2010Q1,2010-04-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2010Q2,2010-07-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000026/,,14
Dollar General,DG,2010Q2,2010-07-30,분기별 영업이익,300757000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/29534/000110465911049323/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-30 제출본의 비교기간에서 읽었다,14
Dollar General,DG,2010Q2,2010-07-30,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000026/,,14
Dollar General,DG,2010Q2,2010-07-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000026/,,14
Dollar General,DG,2010Q2,2010-07-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000026/,,14
Dollar General,DG,2010Q2,2010-07-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000026/,,14
Dollar General,DG,2010Q2,2010-07-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000026/,,14
Dollar General,DG,2010Q2,2010-07-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953410000026/,,14
Dollar General,DG,2010Q2,2010-07-30,분기말 종가,29.18,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DG?interval=1d&events=splits (2010-07-30),,14
Dollar General,DG,2010Q2,2010-07-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2010Q2,2010-07-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2010Q3,2010-10-29,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465910061217/,,14
Dollar General,DG,2010Q3,2010-10-29,분기별 영업이익,274334000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/29534/000110465911067510/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-12-05 제출본의 비교기간에서 읽었다,14
Dollar General,DG,2010Q3,2010-10-29,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465910061217/,,14
Dollar General,DG,2010Q3,2010-10-29,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465910061217/,,14
Dollar General,DG,2010Q3,2010-10-29,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465910061217/,,14
Dollar General,DG,2010Q3,2010-10-29,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465910061217/,,14
Dollar General,DG,2010Q3,2010-10-29,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465910061217/,,14
Dollar General,DG,2010Q3,2010-10-29,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465910061217/,,14
Dollar General,DG,2010Q3,2010-10-29,분기말 종가,28.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DG?interval=1d&events=splits (2010-10-29),,14
Dollar General,DG,2010Q3,2010-10-29,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2010Q3,2010-10-29,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2010Q4,2011-01-28,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/,,14
Dollar General,DG,2010Q4,2011-01-28,분기말 종가,28.4,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DG?interval=1d&events=splits (2011-01-28),,14
Dollar General,DG,2010Q4,2011-01-28,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2010Q4,2011-01-28,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,14
Dollar General,DG,2011Q1,2011-04-29,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/29534/000110465911032523/,,14
