기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Danaher,DHR,2010Q1,2010-04-02,분기별 매출액,3092220000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,,5
Danaher,DHR,2010Q1,2010-04-02,분기별 영업이익,433366000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,,5
Danaher,DHR,2010Q1,2010-04-02,분기별 당기순이익(지배),300233000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,,5
Danaher,DHR,2010Q1,2010-04-02,분기별 영업활동현금흐름,393879000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,,5
Danaher,DHR,2010Q1,2010-04-02,분기말 자산총계,19880646000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,,5
Danaher,DHR,2010Q1,2010-04-02,분기말 부채총계,8027468000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,부채및자본 19880646000 − 총자본 11853178000,5
Danaher,DHR,2010Q1,2010-04-02,분기말 총자본(자기자본),11853178000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,"StockholdersEquity, MinorityInterest 태그 없음",5
Danaher,DHR,2010Q1,2010-04-02,분기말 지배지분 자본,11853178000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,,5
Danaher,DHR,2010Q1,2010-04-01,분기말 종가,80.63,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DHR?interval=1d&events=splits (2010-04-01),분할조정 종가 27.0965 × 이후 분할계수 2.97566,5
Danaher,DHR,2010Q1,2010-04-02,분기말 상장주식수,324646610,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
Danaher,DHR,2010Q1,2010-04-01,분기말 시가총액,26176256164,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/DHR?interval=1d&events=splits (2010-04-01) ; https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,종가 80.63 × 주식수 324646610,5
Danaher,DHR,2010Q2,2010-07-02,분기별 매출액,3310921000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,,5
Danaher,DHR,2010Q2,2010-07-02,분기별 영업이익,533850000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,,5
Danaher,DHR,2010Q2,2010-07-02,분기별 당기순이익(지배),372476000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,,5
Danaher,DHR,2010Q2,2010-07-02,분기별 영업활동현금흐름,537923000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/ ; https://www.sec.gov/Archives/edgar/data/313616/000119312510089057/,누적 931802000 − 직전누적 393879000 (시작 2010-01-01),5
Danaher,DHR,2010Q2,2010-07-02,분기말 자산총계,20078957000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,,5
Danaher,DHR,2010Q2,2010-07-02,분기말 부채총계,8020947000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,부채및자본 20078957000 − 총자본 12058010000,5
Danaher,DHR,2010Q2,2010-07-02,분기말 총자본(자기자본),12058010000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,"StockholdersEquity, MinorityInterest 태그 없음",5
Danaher,DHR,2010Q2,2010-07-02,분기말 지배지분 자본,12058010000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,,5
Danaher,DHR,2010Q2,2010-07-02,분기말 종가,36.25,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DHR?interval=1d&events=splits (2010-07-02),분할조정 종가 24.3643 × 이후 분할계수 1.48783,5
Danaher,DHR,2010Q2,2010-07-16,분기말 상장주식수,652622896,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
Danaher,DHR,2010Q2,2010-07-02,분기말 시가총액,23657579980,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/DHR?interval=1d&events=splits (2010-07-02) ; https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,종가 36.25 × 주식수 652622896,5
Danaher,DHR,2010Q3,2010-10-01,분기별 매출액,3190193000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,,5
Danaher,DHR,2010Q3,2010-10-01,분기별 영업이익,572650000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,,5
Danaher,DHR,2010Q3,2010-10-01,분기별 당기순이익(지배),646435000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,,5
Danaher,DHR,2010Q3,2010-10-01,분기별 영업활동현금흐름,579267000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/ ; https://www.sec.gov/Archives/edgar/data/313616/000119312510185038/,누적 1511069000 − 직전누적 931802000 (시작 2010-01-01),5
Danaher,DHR,2010Q3,2010-10-01,분기말 자산총계,21497835000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,,5
Danaher,DHR,2010Q3,2010-10-01,분기말 부채총계,8325902000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,부채및자본 21497835000 − 총자본 13171933000,5
Danaher,DHR,2010Q3,2010-10-01,분기말 총자본(자기자본),13171933000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,"StockholdersEquity, MinorityInterest 태그 없음",5
Danaher,DHR,2010Q3,2010-10-01,분기말 지배지분 자본,13171933000,USD,공시,https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,,5
Danaher,DHR,2010Q3,2010-10-01,분기말 종가,40.4,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DHR?interval=1d&events=splits (2010-10-01),분할조정 종가 27.1536 × 이후 분할계수 1.48783,5
Danaher,DHR,2010Q3,2010-10-15,분기말 상장주식수,653954253,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
Danaher,DHR,2010Q3,2010-10-01,분기말 시가총액,26419751821,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/DHR?interval=1d&events=splits (2010-10-01) ; https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,종가 40.4 × 주식수 653954253,5
Danaher,DHR,2010Q4,2010-12-31,분기별 매출액,3609268000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/313616/000119312511044412/ ; https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,연간 13202602000 − 9개월누적 9593334000 (SalesRevenueNet),5
Danaher,DHR,2010Q4,2010-12-31,분기별 영업이익,626508000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/313616/000119312511044412/ ; https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,연간 2166374000 − 9개월누적 1539866000 (OperatingIncomeLoss),5
Danaher,DHR,2010Q4,2010-12-31,분기별 당기순이익(지배),473856000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/313616/000119312511044412/ ; https://www.sec.gov/Archives/edgar/data/313616/000119312510232801/,연간 1793000000 − 9개월누적 1319144000 (NetIncomeLoss),5
