기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Dollar Tree,DLTR,2012Q4,2013-02-02,분기별 영업활동현금흐름,재작성 반영,364300000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/935703/000093570313000014/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570312000076/,364900000,https://www.sec.gov/Archives/edgar/data/935703/000093570315000034/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570312000076/,16
Dollar Tree,DLTR,2013Q4,2014-02-01,분기별 영업활동현금흐름,재작성 반영,426700000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/935703/000093570314000008/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570313000055/,427400000,https://www.sec.gov/Archives/edgar/data/935703/000093570316000127/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570313000055/,16
Dollar Tree,DLTR,2014Q4,2015-01-31,분기별 영업활동현금흐름,재작성 반영,538300000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/935703/000093570315000034/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570314000081/,554300000,https://www.sec.gov/Archives/edgar/data/935703/000093570317000011/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570314000081/,16
Dollar Tree,DLTR,2014Q4,2015-01-31,분기말 자산총계,재작성 반영,3567000000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000034/,3492700000,https://www.sec.gov/Archives/edgar/data/935703/000093570316000127/,16
Dollar Tree,DLTR,2014Q4,2015-01-31,분기말 부채총계,재작성 반영,1782000000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000034/,1707700000,https://www.sec.gov/Archives/edgar/data/935703/000093570316000127/,16
Dollar Tree,DLTR,2015Q1,2015-05-02,분기별 영업이익,재작성 반영,232800000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000050/,418700000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2015Q1,2015-05-02,분기별 당기순이익(지배),재작성 반영,69500000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000050/,232700000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2015Q1,2015-05-02,분기별 영업활동현금흐름,재작성 반영,129800000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000050/,150400000,https://www.sec.gov/Archives/edgar/data/935703/000093570316000143/,16
Dollar Tree,DLTR,2015Q2,2015-08-01,분기별 영업이익,재작성 반영,123400000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000082/,357200000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2015Q2,2015-08-01,분기별 당기순이익(지배),재작성 반영,-98000000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000082/,170200000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2015Q2,2015-08-01,분기별 영업활동현금흐름,재작성 반영,-175500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/935703/000093570315000082/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570315000050/,-174800000,https://www.sec.gov/Archives/edgar/data/935703/000093570316000160/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570316000143/,16
Dollar Tree,DLTR,2015Q3,2015-10-31,분기별 영업이익,재작성 반영,223700000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000109/,342400000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2015Q3,2015-10-31,분기별 당기순이익(지배),재작성 반영,81900000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570315000109/,171600000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2015Q3,2015-10-31,분기별 영업활동현금흐름,재작성 반영,-4800000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/935703/000093570315000109/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570315000082/,-4600000,https://www.sec.gov/Archives/edgar/data/935703/000093570316000168/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570316000160/,16
Dollar Tree,DLTR,2015Q4,2016-01-30,분기별 영업활동현금흐름,재작성 반영,831400000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/935703/000093570316000127/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570315000109/,831500000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570316000168/,16
Dollar Tree,DLTR,2016Q1,2016-04-30,분기별 영업이익,재작성 반영,418700000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570316000143/,388800000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2016Q1,2016-04-30,분기별 당기순이익(지배),재작성 반영,232700000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570316000143/,200500000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2016Q2,2016-07-30,분기별 영업이익,재작성 반영,357200000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570316000160/,419500000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2016Q2,2016-07-30,분기별 당기순이익(지배),재작성 반영,170200000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570316000160/,233800000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2016Q3,2016-10-29,분기별 영업이익,재작성 반영,342400000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570316000168/,425200000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2016Q3,2016-10-29,분기별 당기순이익(지배),재작성 반영,171600000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570316000168/,239900000,https://www.sec.gov/Archives/edgar/data/935703/000093570318000016/,16
Dollar Tree,DLTR,2020Q3,2020-10-31,분기별 매출액,재작성 반영,6177000000,공시,https://www.sec.gov/Archives/edgar/data/935703/000093570320000066/,6176700000,https://www.sec.gov/Archives/edgar/data/935703/000093570321000058/,16
Dollar Tree,DLTR,2020Q4,2021-01-30,분기별 매출액,재작성 반영,6767900000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570320000066/,6767300000,https://www.sec.gov/Archives/edgar/data/935703/000093570323000016/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570321000058/,16
Dollar Tree,DLTR,2022Q4,2023-01-28,분기별 매출액,재분류(미반영),7720700000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/935703/000093570323000016/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570322000073/,-5199500000,https://www.sec.gov/Archives/edgar/data/935703/000093570325000015/ ; https://www.sec.gov/Archives/edgar/data/935703/000093570322000073/,16
