기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Dover,DOV,2010Q1,2010-03-31,분기별 매출액,1583270000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,,15
Dover,DOV,2010Q1,2010-03-31,분기별 영업이익,202987000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,,15
Dover,DOV,2010Q1,2010-03-31,분기별 당기순이익(지배),108126000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,,15
Dover,DOV,2010Q1,2010-03-31,분기별 영업활동현금흐름,87066000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,,15
Dover,DOV,2010Q1,2010-03-31,분기말 자산총계,8026901000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,,15
Dover,DOV,2010Q1,2010-03-31,분기말 부채총계,3970310000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,부채및자본 8026901000 − 총자본 4056591000,15
Dover,DOV,2010Q1,2010-03-31,분기말 총자본(자기자본),4056591000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,"StockholdersEquity, MinorityInterest 태그 없음",15
Dover,DOV,2010Q1,2010-03-31,분기말 지배지분 자본,4056591000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,,15
Dover,DOV,2010Q1,2010-03-31,분기말 종가,46.75,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DOV?interval=1d&events=splits (2010-03-31),분할조정 종가 31.3382 × 이후 분할계수 1.49179,15
Dover,DOV,2010Q1,2010-04-16,분기말 상장주식수,186759146,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
Dover,DOV,2010Q1,2010-03-31,분기말 시가총액,8730990076,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/DOV?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,종가 46.75 × 주식수 186759146,15
Dover,DOV,2010Q2,2010-06-30,분기별 매출액,1786696000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,,15
Dover,DOV,2010Q2,2010-06-30,분기별 영업이익,264889000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,,15
Dover,DOV,2010Q2,2010-06-30,분기별 당기순이익(지배),169870000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,,15
Dover,DOV,2010Q2,2010-06-30,분기별 영업활동현금흐름,231199000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/ ; https://www.sec.gov/Archives/edgar/data/29905/000095012310037389/,누적 318265000 − 직전누적 87066000 (시작 2010-01-01),15
Dover,DOV,2010Q2,2010-06-30,분기말 자산총계,8083307000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,,15
Dover,DOV,2010Q2,2010-06-30,분기말 부채총계,3998034000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,부채및자본 8083307000 − 총자본 4085273000,15
Dover,DOV,2010Q2,2010-06-30,분기말 총자본(자기자본),4085273000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,"StockholdersEquity, MinorityInterest 태그 없음",15
Dover,DOV,2010Q2,2010-06-30,분기말 지배지분 자본,4085273000,USD,공시,https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,,15
Dover,DOV,2010Q2,2010-06-30,분기말 종가,41.79,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DOV?interval=1d&events=splits (2010-06-30),분할조정 종가 28.0133 × 이후 분할계수 1.49179,15
Dover,DOV,2010Q2,2010-07-16,분기말 상장주식수,186660653,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/29905/000095012310067508/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
