기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
DTE Energy,DTE,2011Q1,2011-03-31,분기별 영업이익,재분류(미반영),390000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000095012311040177/,389000000,https://www.sec.gov/Archives/edgar/data/936340/000093634013000028/,15
DTE Energy,DTE,2011Q3,2011-09-30,분기별 영업이익,재분류(미반영),399000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634011000005/,398000000,https://www.sec.gov/Archives/edgar/data/936340/000093634013000028/,15
DTE Energy,DTE,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),346000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634012000004/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634011000005/,344000000,https://www.sec.gov/Archives/edgar/data/936340/000093634014000014/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634011000005/,15
DTE Energy,DTE,2012Q3,2012-09-30,분기별 영업이익,재분류(미반영),410000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634012000113/,406000000,https://www.sec.gov/Archives/edgar/data/936340/000093634014000014/,15
DTE Energy,DTE,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),263000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634013000028/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634012000113/,267000000,https://www.sec.gov/Archives/edgar/data/936340/000093634013000028/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634013000138/,15
DTE Energy,DTE,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,541000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634014000106/,547000000,https://www.sec.gov/Archives/edgar/data/936340/000093634017000064/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634014000106/,15
DTE Energy,DTE,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),27974000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/,,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/,15
DTE Energy,DTE,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),19632000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/,,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/,15
DTE Energy,DTE,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8342000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/,,https://www.sec.gov/Archives/edgar/data/936340/000093634015000014/,15
DTE Energy,DTE,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,288000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/936340/000093634015000171/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634015000122/,293000000,https://www.sec.gov/Archives/edgar/data/936340/000093634016000415/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634015000122/,15
DTE Energy,DTE,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,28737000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634016000243/,28662000000,https://www.sec.gov/Archives/edgar/data/936340/000093634018000082/,15
DTE Energy,DTE,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,19942000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/936340/000093634016000243/,19867000000,https://www.sec.gov/Archives/edgar/data/936340/000093634017000064/,15
DTE Energy,DTE,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,741000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634016000312/,745000000,https://www.sec.gov/Archives/edgar/data/936340/000093634017000134/,15
DTE Energy,DTE,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,495000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/936340/000093634016000415/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634016000370/,491000000,https://www.sec.gov/Archives/edgar/data/936340/000093634016000415/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634017000199/,15
DTE Energy,DTE,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,301000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634017000064/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634016000415/,342000000,https://www.sec.gov/Archives/edgar/data/936340/000093634019000086/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634016000415/,15
DTE Energy,DTE,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,569000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634017000134/,585000000,https://www.sec.gov/Archives/edgar/data/936340/000093634019000086/,15
DTE Energy,DTE,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,303000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634017000199/,320000000,https://www.sec.gov/Archives/edgar/data/936340/000093634019000086/,15
DTE Energy,DTE,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,418000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634017000242/,434000000,https://www.sec.gov/Archives/edgar/data/936340/000093634019000086/,15
DTE Energy,DTE,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,356000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634018000082/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634017000242/,372000000,https://www.sec.gov/Archives/edgar/data/936340/000093634020000127/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634018000233/,15
DTE Energy,DTE,2019Q4,2019-12-31,분기별 매출액,재분류(미반영),3148000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634020000127/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634019000256/,2647000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634019000256/,15
DTE Energy,DTE,2019Q4,2019-12-31,분기별 영업이익,재분류(미반영),415000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634020000127/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634019000256/,138000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634019000256/,15
DTE Energy,DTE,2019Q4,2019-12-31,분기말 자산총계,재작성 반영,41882000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634020000127/,42268000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/,15
DTE Energy,DTE,2019Q4,2019-12-31,분기말 부채총계,재작성 반영,30046000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/936340/000093634020000127/,30432000000,https://www.sec.gov/Archives/edgar/data/936340/000093634021000112/,15
DTE Energy,DTE,2020Q1,2020-03-31,분기별 매출액,재분류(미반영),3022000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634020000171/,2852000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/,15
DTE Energy,DTE,2020Q1,2020-03-31,분기별 영업이익,재분류(미반영),546000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634020000171/,445000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/,15
DTE Energy,DTE,2020Q2,2020-06-30,분기별 매출액,재분류(미반영),2583000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634020000219/,2411000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/,15
DTE Energy,DTE,2020Q2,2020-06-30,분기별 영업이익,재분류(미반영),367000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634020000219/,263000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/,15
DTE Energy,DTE,2020Q3,2020-09-30,분기별 매출액,재분류(미반영),3284000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634020000256/,3080000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/,15
DTE Energy,DTE,2020Q3,2020-09-30,분기별 영업이익,재분류(미반영),608000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634020000256/,479000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000077/,15
DTE Energy,DTE,2020Q4,2020-12-31,분기별 매출액,재분류(미반영),3288000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634021000112/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634020000256/,3080000000,https://www.sec.gov/Archives/edgar/data/936340/000093634023000073/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634021000235/,15
DTE Energy,DTE,2020Q4,2020-12-31,분기별 영업이익,재분류(미반영),465000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/936340/000093634021000112/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634020000256/,368000000,https://www.sec.gov/Archives/edgar/data/936340/000093634023000073/ ; https://www.sec.gov/Archives/edgar/data/936340/000093634021000235/,15
DTE Energy,DTE,2021Q1,2021-03-31,분기별 매출액,재분류(미반영),3778000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634021000154/,3581000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000123/,15
DTE Energy,DTE,2021Q1,2021-03-31,분기별 영업이익,재분류(미반영),537000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634021000154/,433000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000123/,15
DTE Energy,DTE,2021Q2,2021-06-30,분기별 매출액,재분류(미반영),3229000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634021000211/,3021000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000177/,15
DTE Energy,DTE,2021Q2,2021-06-30,분기별 영업이익,재분류(미반영),322000000,공시,https://www.sec.gov/Archives/edgar/data/936340/000093634021000211/,242000000,https://www.sec.gov/Archives/edgar/data/936340/000093634022000177/,15
