기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Duke Energy,DUK,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),767000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1326160/000132616013000009/ ; https://www.sec.gov/Archives/edgar/data/1326160/000132616012000010/,552000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/ ; https://www.sec.gov/Archives/edgar/data/1326160/000132616012000010/,7
Duke Energy,DUK,2013Q1,2013-03-31,분기별 영업이익,재분류(미반영),1215000000,공시,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000014/,1259000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/,7
Duke Energy,DUK,2013Q2,2013-06-30,분기별 매출액,재분류(미반영),5879000000,공시,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000032/,5393000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/,7
Duke Energy,DUK,2013Q2,2013-06-30,분기별 영업이익,재분류(미반영),821000000,공시,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000032/,742000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/,7
Duke Energy,DUK,2013Q3,2013-09-30,분기별 매출액,재분류(미반영),6709000000,공시,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000042/,6217000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/,7
Duke Energy,DUK,2013Q3,2013-09-30,분기별 영업이익,재분류(미반영),1743000000,공시,https://www.sec.gov/Archives/edgar/data/1326160/000132616013000042/,1660000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616015000008/,7
Duke Energy,DUK,2013Q4,2013-12-31,분기별 매출액,재분류(미반영),6112000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1326160/000132616014000003/ ; https://www.sec.gov/Archives/edgar/data/1326160/000132616013000042/,5624000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/ ; https://www.sec.gov/Archives/edgar/data/1326160/000132616014000032/,7
Duke Energy,DUK,2013Q4,2013-12-31,분기별 영업이익,재분류(미반영),1203000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1326160/000132616014000003/ ; https://www.sec.gov/Archives/edgar/data/1326160/000132616013000042/,1191000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/ ; https://www.sec.gov/Archives/edgar/data/1326160/000132616014000032/,7
Duke Energy,DUK,2014Q1,2014-03-31,분기별 매출액,재분류(미반영),6624000000,공시,https://www.sec.gov/Archives/edgar/data/1326160/000132616014000005/,6263000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/,7
Duke Energy,DUK,2014Q1,2014-03-31,분기별 영업이익,재분류(미반영),58000000,공시,https://www.sec.gov/Archives/edgar/data/1326160/000132616014000005/,1362000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616016000221/,7
