기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Duke Energy,DUK,2010Q1,2010-03-31,분기별 매출액,3594000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1326160/000119312511047229/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-02-25 제출본의 비교기간에서 읽었다,7
Duke Energy,DUK,2010Q1,2010-03-31,분기별 영업이익,761000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1326160/000119312511047229/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-02-25 제출본의 비교기간에서 읽었다,7
Duke Energy,DUK,2010Q1,2010-03-31,분기별 당기순이익(지배),445000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1326160/000119312511047229/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-02-25 제출본의 비교기간에서 읽었다,7
Duke Energy,DUK,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1326160/000119312510112744/,,7
Duke Energy,DUK,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1326160/000119312510112744/,,7
Duke Energy,DUK,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1326160/000119312510112744/,,7
Duke Energy,DUK,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1326160/000119312510112744/,,7
Duke Energy,DUK,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1326160/000119312510112744/,,7
Duke Energy,DUK,2010Q1,2010-03-31,분기말 종가,16.32,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DUK?interval=1d&events=splits (2010-03-31),분할조정 종가 48.96 × 이후 분할계수 0.333333,7
Duke Energy,DUK,2010Q1,2010-05-03,분기말 상장주식수,1313134663,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1326160/000119312510112744/,dei:EntityCommonStockSharesOutstanding 클래스 합 ; 값은 XBRL 원문(companyfacts 미반영 보고서),7
Duke Energy,DUK,2010Q1,2010-03-31,분기말 시가총액,21430357700,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/DUK?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1326160/000119312510112744/,종가 16.32 × 주식수 1313134663 ; 값은 XBRL 원문(companyfacts 미반영 보고서),7
Duke Energy,DUK,2010Q2,2010-06-30,분기별 매출액,3287000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,,7
Duke Energy,DUK,2010Q2,2010-06-30,분기별 영업이익,-14000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,,7
Duke Energy,DUK,2010Q2,2010-06-30,분기별 당기순이익(지배),-222000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,,7
Duke Energy,DUK,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,,7
Duke Energy,DUK,2010Q2,2010-06-30,분기말 자산총계,56400000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,,7
Duke Energy,DUK,2010Q2,2010-06-30,분기말 부채총계,35137000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,부채및자본 56400000000 − 총자본 21263000000,7
Duke Energy,DUK,2010Q2,2010-06-30,분기말 총자본(자기자본),21263000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,,7
Duke Energy,DUK,2010Q2,2010-06-30,분기말 지배지분 자본,21127000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1326160/000119312510181227/,,7
Duke Energy,DUK,2010Q2,2010-06-30,분기말 종가,16.0,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DUK?interval=1d&events=splits (2010-06-30),분할조정 종가 48.0 × 이후 분할계수 0.333333,7
